region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",61.21,59.33,59.5,57.15,53.43,50.98,55.84,58.46
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",27.05,21.68,26.51,25.88,20.74,19.78,24.06,26.42
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",62.17,15.93,14.64,15.58,14.38,16.23,13.78,14.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",22.77,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",6.81,6.14,5.59,4.79,7.07,7.04,6.45,5.63
Нижегородская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",23.66,16.31,15.9,11.98,14.94,18.91,15.98,14.83
Нижегородская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",4.92,9.18,12.15,12.78,12.32,13.2,13.33,18.06
Нижегородская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",18.67,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",4.36,3.65,3.66,3.56,2.72,3.47,2.61,2.85
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.24,0.11,0.24,0.26,0.06,0.44,0.62,0.47
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",7.35,0.12,0.08,0.17,0.13,1.32,0.25,0.18
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",0.26,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,5,Науки об обществе,"Подано, бюджет",17.91,21.26,21.24,23.48,26.56,26.98,25.1,23.8
Нижегородская область,5,Науки об обществе,"Подано, коммерция",42.81,50.39,44.2,49.68,52.45,55.03,50.68,50.68
Нижегородская область,5,Науки об обществе,"Принято, бюджет",16.2,13.87,14.39,12.13,14.26,14.07,13.24,4.91
Нижегородская область,5,Науки об обществе,"Принято, коммерция",49.99,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,6,Образование и педагогические науки,"Подано, бюджет",4.11,3.91,3.94,5.02,5.38,5.4,3.4,3.65
Нижегородская область,6,Образование и педагогические науки,"Подано, коммерция",3.95,6.23,7.02,7.61,7.54,2.65,4.1,3.26
