region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Поданные,21329,21629,23941,27367,31721,25121,28156,33343
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Принятые,11291,387,346,362,342,392,334,314
Нижегородская область,3,Здравоохранение и медицинские науки,Поданные,3952,3308,3501,3478,5926,5358,5118,5340
Нижегородская область,3,Здравоохранение и медицинские науки,Принятые,1682,223,287,297,293,319,323,397
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1389,1237,1342,1541,1477,1603,1244,1486
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1221,3,2,4,3,32,6,4
Нижегородская область,5,Науки об обществе,Поданные,8908,10988,11791,15957,21736,18495,18292,20487
Нижегородская область,5,Науки об обществе,Принятые,5003,337,340,282,339,340,321,108
Нижегородская область,6,Образование и педагогические науки,Поданные,1596,1790,2078,3047,3968,2723,2088,2361
Нижегородская область,6,Образование и педагогические науки,Принятые,830,857,754,723,755,750,825,850
Нижегородская область,7,Гуманитарные науки,Поданные,516,695,741,1163,1029,1259,1175,809
Нижегородская область,7,Гуманитарные науки,Принятые,279,238,228,249,223,239,228,117
Нижегородская область,8,Искусство и культура,Поданные,1420,1631,2022,1940,2181,1861,2395,2697
Нижегородская область,8,Искусство и культура,Принятые,820,385,406,407,423,344,387,408
Нижегородская область,1,Математические и естественные науки,Поданные,NA,NA,0,NA,NA,NA,NA,NA
Нижегородская область,1,Математические и естественные науки,Принятые,NA,NA,0,NA,NA,NA,NA,NA
Самарская область,2,"Инженерное дело, технологии и технические науки",Поданные,14585,15181,17278,18183,23892,21393,23598,26804
Самарская область,2,"Инженерное дело, технологии и технические науки",Принятые,10983,482,601,557,629,505,680,599
Самарская область,3,Здравоохранение и медицинские науки,Поданные,3568,4076,4321,5660,6820,6136,6720,8324
Самарская область,3,Здравоохранение и медицинские науки,Принятые,2380,261,289,378,398,395,487,79
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1042,1025,1222,1234,1227,1415,1913,1720
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,990,17,10,17,7,24,10,36
Самарская область,5,Науки об обществе,Поданные,5454,6345,7582,8010,11894,10045,10372,11350
Самарская область,5,Науки об обществе,Принятые,3740,578,763,521,616,612,492,330
Самарская область,6,Образование и педагогические науки,Поданные,1674,1885,2025,2374,3054,2455,2365,2854
Самарская область,6,Образование и педагогические науки,Принятые,1251,1249,1192,1481,1454,1538,1490,821
Самарская область,7,Гуманитарные науки,Поданные,366,398,352,430,498,490,601,787
Самарская область,7,Гуманитарные науки,Принятые,266,214,176,171,248,268,302,161
Самарская область,8,Искусство и культура,Поданные,1030,1081,1522,1752,2520,2318,2899,3177
Самарская область,8,Искусство и культура,Принятые,607,526,581,621,659,580,554,642
