region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, бюджет",0.65,0.66,0.63,0.55,0.6,0.67,0.52,0.49
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, коммерция",0,0,0.3,0.31,0,0.26,0.3,0.65
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, бюджет",0.36,0.04,0.04,0,0.08,0,0.04,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, бюджет",7.12,7.38,7.71,6.62,6.17,7.06,5.9,6.62
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, коммерция",1.49,1.62,1.26,1.34,0.78,0.91,1.16,3
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, бюджет",7.26,1.23,0.3,0.56,0.25,1.41,0.58,1.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, коммерция",1.97,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, бюджет",7.95,8.28,8.43,9.11,8.4,7.97,10.26,11.55
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, коммерция",4.71,8.92,9.16,11.4,8.78,7.11,11.8,13.41
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, бюджет",6.76,4.16,3.51,5.55,4.84,4.55,5.45,5.6
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, коммерция",5.11,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, бюджет",2.33,2.35,3.03,3.01,2.68,1.88,2.47,2.71
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, коммерция",0.38,0.87,0.76,0.43,0.58,0.69,0.31,0.19
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, бюджет",2.14,1.07,1.23,1.12,1.14,1.12,1.11,0.14
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",0.58,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, бюджет",0.37,0.43,0.51,0.54,0.37,0.31,0.39,0.4
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, коммерция",0,0,0,0,0,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, бюджет",0.46,0,0,0,0.04,0.08,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, бюджет",3.74,4.54,4.67,4.2,3.66,3.77,4.68,4.82
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, коммерция",1.6,1,2.11,1.23,1.16,1.05,1.25,0.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, бюджет",3.83,0.25,0.08,0.13,1.18,1.08,0.04,0.27
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, коммерция",1.97,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, бюджет",11.27,11.8,11.16,10.85,10.47,9.98,11.77,12.01
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, коммерция",0.88,0.55,1.03,0.44,0.56,1.87,1.15,0.59
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, бюджет",12.83,1.19,0.3,1.51,0.21,2.69,0.41,0.59
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, коммерция",1.22,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, бюджет",0.82,0.62,0.75,0.75,0.78,0.75,0.85,0.92
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, коммерция",0.04,0.28,0.59,0.34,0.39,0.38,0.4,0.39
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, бюджет",1.08,0,0,0,0.04,0.04,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, коммерция",0.06,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, бюджет",6.14,2.91,2.86,2.12,2.94,0.82,0.73,0.48
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, коммерция",2.17,1.63,1.95,1.52,1.03,0.21,0.09,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, бюджет",7.26,1.19,1.23,0.13,0.04,0,0.04,0.14
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, коммерция",3.25,NA,NA,NA,NA,NA,NA,NA
