region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.52,0.54,0.57,0.5,0.47,0.58,0.47,0.53
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.28,0.04,0.04,0,0.08,0,0.04,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,6.02,6.32,6.39,5.45,5.05,5.79,4.75,5.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,6.09,1.23,0.3,0.56,0.25,1.41,0.58,1.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,7.32,8.4,8.58,9.62,8.48,7.79,10.63,12.04
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,6.39,4.16,3.51,5.55,4.84,4.55,5.45,5.6
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,1.95,2.08,2.57,2.44,2.24,1.63,1.95,2.06
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,1.79,1.07,1.23,1.12,1.14,1.12,1.11,0.14
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Поданные,0.3,0.35,0.4,0.42,0.29,0.25,0.3,0.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Принятые,0.36,0,0,0,0.04,0.08,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,3.32,3.89,4.14,3.55,3.14,3.21,3.85,3.74
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,3.42,0.25,0.08,0.13,1.18,1.08,0.04,0.27
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,9.24,9.73,9.08,8.55,8.4,8.3,9.2,9.04
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,10.26,1.19,0.3,1.51,0.21,2.69,0.41,0.59
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,0.67,0.55,0.72,0.66,0.7,0.67,0.74,0.78
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,0.86,0,0,0,0.04,0.04,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,5.36,2.67,2.67,1.98,2.54,0.69,0.58,0.35
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,6.37,1.19,1.23,0.13,0.04,0,0.04,0.14
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,0.44,0.18,0.37,0.13,0.27,0.26,0.31,0.42
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,0.34,0,0,0,0,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,0.83,0.86,0.85,0.72,0.6,0.77,0.75,0.61
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,0.63,0,1.1,0.04,0,0,0,0.09
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,1.92,1.75,1.63,1.3,1.25,2.16,2.48,2.22
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,2.3,0.08,0.04,0.04,0,0,0.04,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,10,9.69,10.01,10.79,9.03,7.04,6.55,6.69
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,9.91,0.41,0.47,0.39,0.38,0.29,0.45,0.41
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Поданные,0.24,0.16,0.15,0.12,0.19,0.18,0.34,0.43
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Принятые,0.13,0,0,0,0,0.04,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,5.35,4.3,3.67,3.12,2.69,3.05,3.17,3.2
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,3.54,6.3,6.31,6.11,5.97,4.76,5.57,5.32
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,0.72,0.13,0.35,0.42,0.34,0.33,0.51,0.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.29,0,0.04,0,0.04,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Поданные,0.35,0.24,0.45,0.36,0.37,0.45,0.36,0.35
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Принятые,0.48,0,0,0,0.13,0.12,0.04,0.05
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,3.27,2.16,1.91,1.73,2.35,2.67,2.41,2.26
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,2.05,8.4,11.47,11.96,11.23,12.46,12.62,16.74
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,1.71,1.34,1.11,1.01,1.55,1.33,1.57,1.37
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,1.26,0,0.04,0,0.04,0,0.04,0.09
Нижегородская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Поданные,5.13,4.29,4.49,3.51,4.64,5.32,4.47,4.29
Нижегородская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Принятые,4.65,0.78,0.63,0.82,1.01,0.75,0.62,1.23
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,3.2,2.72,2.77,2.53,1.92,2.49,1.86,1.89
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,5.13,0.12,0.08,0.17,0.13,1.24,0.12,0.18
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.35,0.28,0.18,0.3,0.25,0.35,0.26,0.35
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,0.65,0,0,0,0,0.08,0.12,0
Нижегородская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,13.3,13.7,12.89,14.66,15.07,16.8,15.32,15.16
Нижегородская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,12.66,7.28,6.09,6.15,8.58,5.79,4.83,4.09
Нижегородская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,0.46,0.36,0.51,0.37,0.44,0.3,0.61,0.52
Нижегородская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,0.51,2.06,2.24,2.19,2.1,2.15,2.1,0.05
Нижегородская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,5.69,7.26,6.5,8.44,10,9.22,8.41,7.95
Нижегородская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,6.89,0.04,0.17,0.13,0,0.04,1.16,0.14
Нижегородская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Поданные,0.26,0.28,0.25,0.37,0.31,0.4,0.53,0.48
Нижегородская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Принятые,0.21,0,0,0.09,0.04,0,0,0
Нижегородская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Поданные,3.07,5.02,5.82,5.44,6.12,6.07,6.4,6.7
