region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",52.69,54.51,53.1,52.38,48.78,46.5,48.83,49.7
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",43.86,42.1,38.31,38.66,35.49,28.34,31.64,32.54
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",58.12,5.66,5.18,3.33,2.52,6.07,9.12,9.33
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",39.48,0,64.66,38.46,38.46,38.46,50,NA
Волгоградская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",12.31,12.93,13.98,15.38,15.57,16.01,14.37,14.99
Волгоградская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",12.92,14.76,18.6,22.2,22.18,24.28,25.64,26.29
Волгоградская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",8.84,9.77,10.25,10.82,13.42,12.44,11.74,28.25
Волгоградская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",11.22,0,0,0,0,0,0,NA
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",7.9,8.09,7.06,7.67,6.82,9.2,9.85,8.8
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",2.28,2.7,3.2,2.43,2.82,3.25,2.49,2.31
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",9.95,0.1,0.5,0.29,0.48,0.5,0.39,0.22
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",2.78,0,0,0,0,0,0,NA
Волгоградская область,5,Науки об обществе,"Подано, бюджет",15.44,13.66,14.23,14.32,16.42,17.12,17.46,15.68
Волгоградская область,5,Науки об обществе,"Подано, коммерция",34.9,34.72,33.84,31.25,33.39,37.1,35,34.07
Волгоградская область,5,Науки об обществе,"Принято, бюджет",11.91,14.63,19.2,19.29,15.89,10.2,9.89,6.35
Волгоградская область,5,Науки об обществе,"Принято, коммерция",39.72,30,11.21,18.46,18.46,18.46,50,NA
Волгоградская область,6,Образование и педагогические науки,"Подано, бюджет",6.33,5.79,6.93,5.46,7.23,5.74,4.58,5.67
Волгоградская область,6,Образование и педагогические науки,"Подано, коммерция",3.69,3.41,3.54,2.95,2.99,3.31,2.24,1.02
Волгоградская область,6,Образование и педагогические науки,"Принято, бюджет",5.65,44.69,44.57,45.03,45.88,46.79,44.81,33.46
Волгоградская область,6,Образование и педагогические науки,"Принято, коммерция",4.13,50,17.24,30.77,30.77,30.77,0,NA
Волгоградская область,7,Гуманитарные науки,"Подано, бюджет",2.84,2.3,1.96,1.78,1.85,1.77,1.79,1.78
Волгоградская область,7,Гуманитарные науки,"Подано, коммерция",1.18,1.2,1.47,1.17,1.12,1.22,0.78,1.51
Волгоградская область,7,Гуманитарные науки,"Принято, бюджет",3.31,14.43,10.95,13.17,12.84,13.54,13.05,12.57
Волгоградская область,7,Гуманитарные науки,"Принято, коммерция",1.56,0,0,0,0,0,0,NA
Волгоградская область,8,Искусство и культура,"Подано, бюджет",2.49,2.72,2.72,3.02,3.33,3.65,3.12,3.38
Волгоградская область,8,Искусство и культура,"Подано, коммерция",1.17,1.1,1.05,1.34,2.01,2.5,2.21,2.26
Волгоградская область,8,Искусство и культура,"Принято, бюджет",2.23,10.72,9.35,8.08,8.96,10.45,11.01,9.81
Волгоградская область,8,Искусство и культура,"Принято, коммерция",1.1,20,6.9,12.31,12.31,12.31,0,NA
Ростовская область,1,Математические и естественные науки,"Подано, бюджет",0.33,0.25,0.27,0.17,0.21,0.19,0.16,0.14
Ростовская область,1,Математические и естественные науки,"Подано, коммерция",0,0.02,0.06,0.04,0.04,0.01,0.05,0.03
Ростовская область,1,Математические и естественные науки,"Принято, бюджет",0.35,0.03,0,0.03,0,0.03,0,0
Ростовская область,1,Математические и естественные науки,"Принято, коммерция",0,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",57.1,54.39,53.85,53.06,51.82,51.86,53.1,52.87
Ростовская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",28.03,28.27,29.12,26.9,29.26,26.76,27.97,29.45
Ростовская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",61.33,15.85,13.74,13.59,10.99,8.87,9.22,8.72
Ростовская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",31.01,74.55,NA,NA,NA,38.46,NA,NA
Ростовская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",11.3,10.4,9.95,10.32,12.19,12.1,10.49,9.58
Ростовская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",16.5,18,17.09,17.71,15.19,17.31,15.74,15.25
Ростовская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",7.14,14.56,15.45,14.9,16.42,15.6,16.76,14.6
Ростовская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",10.91,0,NA,NA,NA,0,NA,NA
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",5.37,5.33,5.01,4.75,4.5,4.16,4.57,4.29
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.62,0.44,0.4,0.89,0.59,0.79,2.03,2.01
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",7.29,0.05,0.11,0.23,0.28,0.1,0.24,0.24
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",0.71,0,NA,NA,NA,0,NA,NA
Ростовская область,5,Науки об обществе,"Подано, бюджет",14.74,17.95,19.25,20.39,19.57,21.53,21.06,21.69
Ростовская область,5,Науки об обществе,"Подано, коммерция",47.29,45.07,44.93,45.69,45.42,45.41,43.5,43.15
Ростовская область,5,Науки об обществе,"Принято, бюджет",15.06,5.46,5.57,7.45,6.6,8.67,9.22,9.76
Ростовская область,5,Науки об обществе,"Принято, коммерция",49.97,25.45,NA,NA,NA,61.54,NA,NA
Ростовская область,6,Образование и педагогические науки,"Подано, бюджет",5.29,5.37,5.6,4.81,5.1,3.99,4.96,5.6
Ростовская область,6,Образование и педагогические науки,"Подано, коммерция",4.64,5.07,5.45,5.12,5.61,5.77,5.56,6.52
Ростовская область,6,Образование и педагогические науки,"Принято, бюджет",4.04,40.03,41.99,40.69,39.05,40.18,38.8,37.19
Ростовская область,6,Образование и педагогические науки,"Принято, коммерция",4.97,0,NA,NA,NA,0,NA,NA
Ростовская область,7,Гуманитарные науки,"Подано, бюджет",1.61,2,2.13,1.9,2.23,1.94,1.79,2.01
Ростовская область,7,Гуманитарные науки,"Подано, коммерция",1.73,1.55,1.68,2.04,2.18,2.53,2.48,2.04
Ростовская область,7,Гуманитарные науки,"Принято, бюджет",1.72,10.71,10.3,11.05,13,13.76,11.56,12.24
Ростовская область,7,Гуманитарные науки,"Принято, коммерция",1.5,0,NA,NA,NA,0,NA,NA
Ростовская область,8,Искусство и культура,"Подано, бюджет",4.26,4.31,3.94,4.6,4.38,4.24,3.87,3.82
Ростовская область,8,Искусство и культура,"Подано, коммерция",1.2,1.59,1.27,1.62,1.72,1.43,2.67,1.54
Ростовская область,8,Искусство и культура,"Принято, бюджет",3.08,13.31,12.85,12.08,13.66,12.78,14.19,17.23
Ростовская область,8,Искусство и культура,"Принято, коммерция",0.93,0,NA,NA,NA,0,NA,NA
