region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Поданные,13931,14216,14158,17310,18108,14515,16472,19679
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Принятые,8932,113,178,93,77,147,213,213
Волгоградская область,3,Здравоохранение и медицинские науки,Поданные,3503,3841,4590,6477,7295,6872,7073,8776
Волгоградская область,3,Здравоохранение и медицинские науки,Принятые,1703,195,204,221,277,250,242,645
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1689,1762,1691,2119,2232,2567,2792,2889
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1266,2,10,6,10,10,8,5
Волгоградская область,5,Науки об обществе,Поданные,6136,5932,6184,7392,9093,8787,9121,10312
Волгоградская область,5,Науки об обществе,Принятые,3922,304,395,406,340,217,229,145
Волгоградская область,6,Образование и педагогические науки,Поданные,1528,1405,1700,1665,2367,1769,1447,1781
Волгоградская область,6,Образование и педагогические науки,Принятые,887,912,907,940,967,960,924,764
Волгоградская область,7,Гуманитарные науки,Поданные,640,544,529,570,656,572,551,763
Волгоградская область,7,Гуманитарные науки,Принятые,463,288,218,269,265,272,269,287
Волгоградская область,8,Искусство и культура,Поданные,575,611,633,884,1180,1176,1079,1347
Волгоградская область,8,Искусство и культура,Принятые,316,222,194,173,193,218,227,224
Ростовская область,1,Математические и естественные науки,Поданные,108,84,104,70,94,74,76,68
Ростовская область,1,Математические и естественные науки,Принятые,78,1,0,1,0,1,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",Поданные,21401,20902,22715,24429,26605,24009,26764,28883
Ростовская область,2,"Инженерное дело, технологии и технические науки",Принятые,16230,797,523,540,431,368,344,285
Ростовская область,3,Здравоохранение и медицинские науки,Поданные,5355,5315,5538,6479,7577,7111,6826,6901
Ростовская область,3,Здравоохранение и медицинские науки,Принятые,2454,544,588,592,644,603,625,477
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1806,1805,1850,1977,2000,1740,2247,2281
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1699,2,4,9,11,4,9,8
Ростовская область,5,Науки об обществе,Поданные,9620,10636,12077,14285,15503,14648,15503,17073
Ростовская область,5,Науки об обществе,Принятые,7259,274,212,296,259,375,344,319
Ростовская область,6,Образование и педагогические науки,Поданные,2190,2302,2639,2588,3053,2354,2944,3632
Ростовская область,6,Образование и педагогические науки,Принятые,1295,1495,1598,1617,1532,1553,1447,1215
Ростовская область,7,Гуманитарные науки,Поданные,701,823,958,1024,1293,1105,1133,1252
Ростовская область,7,Гуманитарные науки,Принятые,503,400,392,439,510,532,431,400
Ростовская область,8,Искусство и культура,Поданные,1507,1589,1563,2019,2128,1860,2046,1990
Ростовская область,8,Искусство и культура,Принятые,767,497,489,480,536,494,529,563
