region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Поданные,49.75,50.21,48.02,47.53,44.24,40.03,42.75,43.21
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Принятые,51.07,5.55,8.45,4.41,3.62,7.09,10.09,9.33
Волгоградская область,3,Здравоохранение и медицинские науки,Поданные,12.51,13.57,15.57,17.79,17.82,18.95,18.35,19.27
Волгоградская область,3,Здравоохранение и медицинские науки,Принятые,9.74,9.58,9.69,10.48,13.01,12.05,11.46,28.25
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,6.03,6.22,5.74,5.82,5.45,7.08,7.25,6.34
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,7.24,0.1,0.47,0.28,0.47,0.48,0.38,0.22
Волгоградская область,5,Науки об обществе,Поданные,21.91,20.95,20.97,20.3,22.22,24.23,23.67,22.64
Волгоградская область,5,Науки об обществе,Принятые,22.43,14.93,18.76,19.26,15.97,10.46,10.84,6.35
Волгоградская область,6,Образование и педагогические науки,Поданные,5.46,4.96,5.77,4.57,5.78,4.88,3.76,3.91
Волгоградская область,6,Образование и педагогические науки,Принятые,5.07,44.79,43.07,44.59,45.42,46.29,43.75,33.46
Волгоградская область,7,Гуманитарные науки,Поданные,2.29,1.92,1.79,1.57,1.6,1.58,1.43,1.68
Волгоградская область,7,Гуманитарные науки,Принятые,2.65,14.15,10.35,12.76,12.45,13.11,12.74,12.57
Волгоградская область,8,Искусство и культура,Поданные,2.05,2.16,2.15,2.43,2.88,3.24,2.8,2.96
Волгоградская область,8,Искусство и культура,Принятые,1.81,10.9,9.21,8.21,9.07,10.51,10.75,9.81
Ростовская область,1,Математические и естественные науки,Поданные,0.25,0.19,0.22,0.13,0.16,0.14,0.13,0.11
Ростовская область,1,Математические и естественные науки,Принятые,0.26,0.02,0,0.03,0,0.03,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",Поданные,50.13,48.1,47.88,46.2,45.67,45.38,46.51,46.53
Ростовская область,2,"Инженерное дело, технологии и технические науки",Принятые,53.59,19.88,13.74,13.59,10.99,9.36,9.22,8.72
Ростовская область,3,Здравоохранение и медицинские науки,Поданные,12.54,12.23,11.67,12.25,13.01,13.44,11.86,11.12
Ростовская область,3,Здравоохранение и медицинские науки,Принятые,8.1,13.57,15.45,14.9,16.42,15.34,16.76,14.6
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,4.23,4.15,3.9,3.74,3.43,3.29,3.91,3.67
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,5.61,0.05,0.11,0.23,0.28,0.1,0.24,0.24
Ростовская область,5,Науки об обществе,Поданные,22.54,24.48,25.46,27.02,26.61,27.69,26.94,27.5
Ростовская область,5,Науки об обществе,Принятые,23.97,6.83,5.57,7.45,6.6,9.54,9.22,9.76
Ростовская область,6,Образование и педагогические науки,Поданные,5.13,5.3,5.56,4.89,5.24,4.45,5.12,5.85
Ростовская область,6,Образование и педагогические науки,Принятые,4.28,37.28,41.99,40.69,39.05,39.52,38.8,37.19
Ростовская область,7,Гуманитарные науки,Поданные,1.64,1.89,2.02,1.94,2.22,2.09,1.97,2.02
Ростовская область,7,Гуманитарные науки,Принятые,1.66,9.98,10.3,11.05,13,13.54,11.56,12.24
Ростовская область,8,Искусство и культура,Поданные,3.53,3.66,3.29,3.82,3.65,3.52,3.56,3.21
Ростовская область,8,Искусство и культура,Принятые,2.53,12.39,12.85,12.08,13.66,12.57,14.19,17.23
