region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, бюджет",0.26,0.24,0.25,0.27,0.21,0.39,0.38,0.39
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, коммерция",0.1,0.19,0.22,0.21,0.3,0.19,0.22,0.44
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, бюджет",0.23,0,0.05,0,0.05,0,0,0
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, коммерция",0.11,0,0,0,0,0,0,NA
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, бюджет",7.7,8.59,8.93,7.83,6.73,6.76,6.88,7.24
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, коммерция",3.86,3.82,3.86,4.29,2.52,2.42,2.75,2.17
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, бюджет",9.67,0,0.25,0.64,0.44,0.75,0.68,0.79
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, коммерция",2.96,0,0,0,0,0,0,NA
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, бюджет",6.65,6.8,7.63,7.97,8.57,8.82,10.78,10.49
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, коммерция",3.66,4.12,4.38,4.77,6.81,5.72,7.07,8.85
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, бюджет",5.22,1.75,1.31,1.42,0.34,3.68,5.58,5.39
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, коммерция",4.22,0,21.55,38.46,38.46,38.46,50,NA
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, бюджет",0.56,0.67,1.09,1.82,1.24,1.41,0.71,1.36
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, коммерция",1.6,0.22,0.38,0.39,0.05,0.05,0.06,0.2
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, бюджет",0.69,0.1,0,0,0.1,0.2,0.1,0.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",0.68,0,0,0,0,0,0,NA
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, бюджет",5.43,5.39,4.8,4.44,4.33,3.53,3.62,3.08
