region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.21,0.22,0.24,0.25,0.24,0.32,0.32,0.41
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.18,0,0.05,0,0.05,0,0,0
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,6.42,6.94,7.19,6.58,5.29,5.21,5.42,5.32
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,7.14,0,0.24,0.62,0.42,0.72,0.66,0.79
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,5.66,5.87,6.52,6.84,7.97,7.72,9.46,9.87
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,4.84,1.72,2.42,2.56,1.5,4.77,6.63,5.39
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,0.9,0.52,0.84,1.32,0.83,0.93,0.48,0.92
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,0.69,0.1,0,0,0.09,0.19,0.09,0.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,4.3,4.21,3.75,3.49,3.49,2.65,2.63,2.14
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,4.18,0,0,0.05,0,0,0.24,0.22
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,7.73,8.15,8.36,7.23,5.82,5.59,5.68,5.1
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,8.39,1.57,2.52,0.05,0.19,0.29,0.38,0.22
Волгоградская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,1.48,2.09,1.79,1.91,1.32,1.39,1.78,1.53
Волгоградская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,1.49,0.05,0.09,0.14,0,0.1,0.09,0.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,4.65,4.63,1.96,1.79,1.68,0.29,0.39,0.68
Волгоградская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,5.45,0.69,0.24,0.09,0.14,0,0.14,0.04
Волгоградская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,2.63,2.74,2.46,2.89,2.79,2.89,2.98,2.96
Волгоградская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,2.52,0,0,0.05,0,0,0,0.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,3.9,3.71,3.71,3.3,2.97,2.84,3.05,3.36
Волгоградская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,3.79,1.18,1.19,0,0,0.05,0.09,0.04
Волгоградская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,1.15,1.23,1.08,0.96,1.02,0.99,0.99,1.03
Волгоградская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,1.55,0,0,0,0,0.05,0.09,0.04
Волгоградская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,7.63,7.4,6.85,6.75,6.56,5.16,4.88,5.95
Волгоградская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,7.74,0.2,0.19,0.43,0.19,0.29,0.19,0.18
Волгоградская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,0.91,0.98,1.39,1.39,1.21,0.81,0.63,0.54
Волгоградская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,1.1,0,0,0,0.85,0.24,1.18,1.84
Волгоградская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,1.19,0.7,0.44,0.57,0.7,0.37,0.38,0.39
Волгоградская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.53,0,0,0,0,0,0,0.04
Волгоградская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Поданные,0.99,0.79,0.8,0.46,0.57,0.6,0.55,0.42
Волгоградская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Принятые,1.48,0.05,0.33,0.28,0.05,0.1,0.09,0.09
Волгоградская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,4.53,4,4.11,5.83,5.93,6.33,6,7.61
Волгоградская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,2.86,9.48,9.45,10.15,12.49,11.48,11.13,15.94
Волгоградская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,2.75,3.29,3.36,3.58,3.77,3.93,3.97,3.82
Волгоградская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,2.2,0,0,0,0.05,0.14,0,11.96
Волгоградская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Поданные,5.23,6.28,8.09,8.38,8.12,8.7,8.38,7.85
Волгоградская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Принятые,4.67,0.1,0.24,0.33,0.47,0.43,0.33,0.35
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,5.05,5.16,4.85,4.85,4.34,5.55,5.76,5.13
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,6.1,0.1,0.38,0.24,0.42,0.39,0.33,0.22
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.98,1.06,0.89,0.96,1.11,1.53,1.48,1.21
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,1.14,0,0.09,0.05,0.05,0.1,0.05,0
Волгоградская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,8.64,8.26,6.66,5.86,6.55,6.64,6.68,6.52
Волгоградская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,8.79,3.39,2.75,2.28,2.3,0.48,1.8,1.45
Волгоградская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,0.42,0.5,0.51,0.31,0.55,0.42,0.46,0.57
Волгоградская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,0.57,1.82,0.05,0.05,0.05,0.05,0.09,0.09
Волгоградская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,6.99,6.76,6.48,6.62,7.68,9.37,8.54,8.1
Волгоградская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,8.26,5.3,4.32,4.7,4.65,8.05,6.2,4.73
Волгоградская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Поданные,0.4,0.39,0.51,0.49,0.81,1.07,1,1.06
Волгоградская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Принятые,0.3,0,0,0,0,0,0,0
Волгоградская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Поданные,5.46,5.05,6.81,7.02,6.62,6.75,6.98,6.39
Волгоградская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Принятые,4.5,4.42,11.63,12.24,8.97,1.88,2.75,0.09
Волгоградская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Поданные,5.46,4.96,5.77,4.57,5.78,4.88,3.76,3.91
Волгоградская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Принятые,5.07,44.79,43.07,44.59,45.42,46.29,43.75,33.46
Волгоградская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Поданные,0.8,0.54,0.4,0.43,0.48,0.44,0.43,0.47
Волгоградская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Принятые,0.93,0.15,0,0,0,0,0,0
Волгоградская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Поданные,1.49,1.38,1.39,1.13,1.12,1.13,1,1.2
Волгоградская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Принятые,1.72,14,10.35,12.76,12.45,13.11,12.74,12.57
Волгоградская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Поданные,0.45,0.52,0.51,0.52,0.75,0.66,0.47,0.67
Волгоградская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Принятые,0.37,1.28,1.33,1.38,1.55,2.27,2.08,2.15
Волгоградская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Поданные,0.03,0.02,0,NA,0,0.02,0.02,0.02
Волгоградская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Принятые,0.03,0.29,0,NA,0,0.19,0.19,0.31
Волгоградская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Поданные,0.7,0.82,0.82,0.69,0.62,0.54,0.48,0.46
Волгоградская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Принятые,0.8,7.12,5.6,4.65,5.07,4.92,4.88,4.73
Волгоградская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Поданные,0.88,0.79,0.81,1.21,1.52,2.03,1.83,1.81
Волгоградская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Принятые,0.6,2.21,2.28,2.18,2.44,3.13,3.6,2.63
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,NA,0.01,0.66,1.83,1.8,2.23,3.07,2.53
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,NA,0,1.19,0.14,0.14,0.29,0.19,0.18
Волгоградская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Поданные,NA,NA,NA,NA,NA,0.06,0.06,0.06
Волгоградская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Принятые,NA,NA,NA,NA,NA,0,0,0
Ростовская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Поданные,0.25,0.19,0.22,0.13,0.16,0.14,0.13,0.11
Ростовская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Принятые,0.26,0.02,0,0.03,0,0.03,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.53,0.38,0.58,0.56,0.61,0.7,0.69,0.82
Ростовская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.35,0,0,0.03,0.03,0.05,0.03,0.06
