region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Поданные,13931,14216,14158,17310,18108,14515,16472,19679
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Принятые,8932,8893,8547,9078,9142,8232,8748,9620
Волгоградская область,3,Здравоохранение и медицинские науки,Поданные,3503,3841,4590,6477,7295,6872,7073,8776
Волгоградская область,3,Здравоохранение и медицинские науки,Принятые,1703,1847,2017,2097,2299,2370,2614,2961
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1689,1762,1691,2119,2232,2567,2792,2889
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1266,1399,1586,1553,1651,1679,1697,1591
Волгоградская область,5,Науки об обществе,Поданные,6136,5932,6184,7392,9093,8787,9121,10312
Волгоградская область,5,Науки об обществе,Принятые,3922,3933,4222,4497,4480,4764,5196,5624
Волгоградская область,6,Образование и педагогические науки,Поданные,1528,1405,1700,1665,2367,1769,1447,1781
Волгоградская область,6,Образование и педагогические науки,Принятые,887,892,884,917,941,935,914,816
Волгоградская область,7,Гуманитарные науки,Поданные,640,544,529,570,656,572,551,763
Волгоградская область,7,Гуманитарные науки,Принятые,463,375,308,335,334,313,318,380
Волгоградская область,8,Искусство и культура,Поданные,575,611,633,884,1180,1176,1079,1347
Волгоградская область,8,Искусство и культура,Принятые,316,320,324,343,344,382,423,425
Ростовская область,1,Математические и естественные науки,Поданные,108,84,104,70,94,74,76,68
Ростовская область,1,Математические и естественные науки,Принятые,78,67,77,55,61,56,47,65
Ростовская область,2,"Инженерное дело, технологии и технические науки",Поданные,21401,20902,22715,24429,26605,24009,26764,28883
Ростовская область,2,"Инженерное дело, технологии и технические науки",Принятые,16230,14990,15597,16053,16465,15080,16045,16668
Ростовская область,3,Здравоохранение и медицинские науки,Поданные,5355,5315,5538,6479,7577,7111,6826,6901
Ростовская область,3,Здравоохранение и медицинские науки,Принятые,2454,2461,2498,2652,3171,3064,3076,3356
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1806,1805,1850,1977,2000,1740,2247,2281
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1699,1704,1717,1773,1822,1577,1950,1980
Ростовская область,5,Науки об обществе,Поданные,9620,10636,12077,14285,15503,14648,15503,17073
Ростовская область,5,Науки об обществе,Принятые,7259,8382,8972,10134,10739,10400,10472,11117
Ростовская область,6,Образование и педагогические науки,Поданные,2190,2302,2639,2588,3053,2354,2944,3632
Ростовская область,6,Образование и педагогические науки,Принятые,1295,1493,1586,1600,1522,1539,1496,1445
Ростовская область,7,Гуманитарные науки,Поданные,701,823,958,1024,1293,1105,1133,1252
Ростовская область,7,Гуманитарные науки,Принятые,503,673,664,671,754,728,716,680
Ростовская область,8,Искусство и культура,Поданные,1507,1589,1563,2019,2128,1860,2046,1990
Ростовская область,8,Искусство и культура,Принятые,767,939,909,877,1053,1019,1003,1019
