region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",54.69,52.33,51.54,50.23,51.86,48.02,49.17,50.05
Омская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",27.12,31.16,26.56,28.84,30.1,24.43,24.74,24.01
Омская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",57.65,9.59,9.47,9.41,7.97,8.54,7.39,8.91
Омская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",29.26,NA,NA,NA,NA,NA,NA,NA
Омская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",8.8,14.7,12.22,13.59,11.33,12.61,11.5,11.75
Омская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",18.04,13.2,22.84,25,15.24,20.57,21.46,18.77
Омская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",6.69,11.42,9.07,8.78,9.95,9.54,10.29,8.39
Омская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",16.92,NA,NA,NA,NA,NA,NA,NA
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",6.33,7.76,7.36,6.27,4.84,6.76,5.87,5.11
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",1.19,1.18,0.84,1.1,0.7,0.48,1.07,1.61
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",10.89,0.29,0.24,0.43,0.23,0.26,0.17,0.32
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",1.41,NA,NA,NA,NA,NA,NA,NA
Омская область,5,Науки об обществе,"Подано, бюджет",15.98,10.77,13.94,14.45,16.7,15.34,18.15,15.46
Омская область,5,Науки об обществе,"Подано, коммерция",47.77,42.94,38.24,36.01,44.83,42.35,40.62,42.5
Омская область,5,Науки об обществе,"Принято, бюджет",11.86,12.71,14.34,14.41,14.83,8.83,9.96,3.95
Омская область,5,Науки об обществе,"Принято, коммерция",46.06,NA,NA,NA,NA,NA,NA,NA
Омская область,6,Образование и педагогические науки,"Подано, бюджет",6.04,6.47,6.98,6.91,7.26,7.48,6.14,7.97
Омская область,6,Образование и педагогические науки,"Подано, коммерция",1.56,7.39,7.42,6.49,5.75,8.57,8.26,7.4
Омская область,6,Образование и педагогические науки,"Принято, бюджет",5.42,38.8,42.42,41.12,41.38,48.81,46.76,50.84
Омская область,6,Образование и педагогические науки,"Принято, коммерция",1.64,NA,NA,NA,NA,NA,NA,NA
Омская область,7,Гуманитарные науки,"Подано, бюджет",3.11,2.81,3.01,3.22,2.96,3.13,2.56,2.53
Омская область,7,Гуманитарные науки,"Подано, коммерция",1.97,1.75,1.22,1.16,1.09,0.55,1.09,1.56
Омская область,7,Гуманитарные науки,"Принято, бюджет",3.03,11.6,10.18,10.5,10.28,11.89,10.63,11.62
Омская область,7,Гуманитарные науки,"Принято, коммерция",1.71,NA,NA,NA,NA,NA,NA,NA
Омская область,8,Искусство и культура,"Подано, бюджет",5.05,5.16,4.96,5.32,5.05,6.64,6.61,7.12
Омская область,8,Искусство и культура,"Подано, коммерция",2.35,2.38,2.88,1.4,2.29,3.06,2.76,4.14
Омская область,8,Искусство и культура,"Принято, бюджет",4.46,15.6,14.28,15.34,15.35,12.15,14.81,15.97
Омская область,8,Искусство и культура,"Принято, коммерция",3,NA,NA,NA,NA,NA,NA,NA
Тюменская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",63.63,56.69,60.12,61.38,58.2,61.47,64.27,63.94
