region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",Поданные,14285,14030,14374,15745,20420,15365,16614,19574
Омская область,2,"Инженерное дело, технологии и технические науки",Принятые,7854,268,280,284,245,265,221,223
Омская область,3,Здравоохранение и медицинские науки,Поданные,3090,4239,4700,5912,5525,5363,5546,6119
Омская область,3,Здравоохранение и медицинские науки,Принятые,1488,319,268,265,306,296,308,210
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1541,1851,1822,1727,1648,1887,1785,1901
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1308,8,7,13,7,8,5,8
Омская область,5,Науки об обществе,Поданные,6478,5329,6315,7189,10893,8148,9468,10115
Омская область,5,Науки об обществе,Принятые,3325,355,424,435,456,274,298,99
Омская область,6,Образование и педагогические науки,Поданные,1495,1971,2246,2408,3047,2841,2622,3531
Омская область,6,Образование и педагогические науки,Принятые,691,1084,1254,1241,1272,1515,1399,1273
Омская область,7,Гуманитарные науки,Поданные,837,758,814,944,1090,905,843,1031
Омская область,7,Гуманитарные науки,Принятые,420,324,301,317,316,369,318,291
Омская область,8,Искусство и культура,Поданные,1311,1337,1408,1509,1908,2096,2173,2869
Омская область,8,Искусство и культура,Принятые,639,436,422,463,472,377,443,400
Тюменская область,2,"Инженерное дело, технологии и технические науки",Поданные,21812,24565,29271,32453,37770,44723,59105,68943
Тюменская область,2,"Инженерное дело, технологии и технические науки",Принятые,5977,18,80,39,104,99,90,90
Тюменская область,3,Здравоохранение и медицинские науки,Поданные,4299,4722,5193,4927,7216,6829,9905,12929
Тюменская область,3,Здравоохранение и медицинские науки,Принятые,1319,364,351,335,234,429,530,27
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,2215,2377,1690,2232,2544,2195,2488,3474
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1118,3,7,3,3,4,8,11
Тюменская область,5,Науки об обществе,Поданные,3376,5792,5754,6018,10337,9609,12382,16195
Тюменская область,5,Науки об обществе,Принятые,1373,77,60,60,95,68,41,47
Тюменская область,6,Образование и педагогические науки,Поданные,1514,2160,2000,2179,2296,2873,2965,3040
Тюменская область,6,Образование и педагогические науки,Принятые,298,292,262,293,310,364,384,385
Тюменская область,7,Гуманитарные науки,Поданные,857,1340,1516,1572,1567,1003,1406,2168
Тюменская область,7,Гуманитарные науки,Принятые,220,66,83,257,238,257,326,336
Тюменская область,8,Искусство и культура,Поданные,1049,1262,1769,1900,2956,2728,4681,5158
Тюменская область,8,Искусство и культура,Принятые,346,177,190,166,173,259,229,281
