region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",Поданные,49.2,47.54,45.37,44.43,45.86,41.98,42.54,43.36
Омская область,2,"Инженерное дело, технологии и технические науки",Принятые,49.95,9.59,9.47,9.41,7.97,8.54,7.39,8.91
Омская область,3,Здравоохранение и медицинские науки,Поданные,10.64,14.36,14.84,16.68,12.41,14.65,14.2,13.56
Омская область,3,Здравоохранение и медицинские науки,Принятые,9.46,11.42,9.07,8.78,9.95,9.54,10.29,8.39
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,5.31,6.27,5.75,4.87,3.7,5.16,4.57,4.21
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,8.32,0.29,0.24,0.43,0.23,0.26,0.17,0.32
Омская область,5,Науки об обществе,Поданные,22.31,18.06,19.93,20.29,24.46,22.26,24.25,22.41
Омская область,5,Науки об обществе,Принятые,21.14,12.71,14.34,14.41,14.83,8.83,9.96,3.95
Омская область,6,Образование и педагогические науки,Поданные,5.15,6.68,7.09,6.8,6.84,7.76,6.71,7.82
Омская область,6,Образование и педагогические науки,Принятые,4.39,38.8,42.42,41.12,41.38,48.81,46.76,50.84
Омская область,7,Гуманитарные науки,Поданные,2.88,2.57,2.57,2.66,2.45,2.47,2.16,2.28
Омская область,7,Гуманитарные науки,Принятые,2.67,11.6,10.18,10.5,10.28,11.89,10.63,11.62
Омская область,8,Искусство и культура,Поданные,4.51,4.53,4.44,4.26,4.28,5.73,5.56,6.36
Омская область,8,Искусство и культура,Принятые,4.06,15.6,14.28,15.34,15.35,12.15,14.81,15.97
Тюменская область,2,"Инженерное дело, технологии и технические науки",Поданные,62.1,58.19,62.02,63.28,58.39,63.93,63.6,61.61
Тюменская область,2,"Инженерное дело, технологии и технические науки",Принятые,56.12,1.81,7.74,3.38,8.99,6.69,5.6,7.65
Тюменская область,3,Здравоохранение и медицинские науки,Поданные,12.24,11.18,11,9.61,11.16,9.76,10.66,11.55
Тюменская область,3,Здравоохранение и медицинские науки,Принятые,12.38,36.51,33.98,29.05,20.22,28.99,32.96,2.29
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,6.31,5.63,3.58,4.35,3.93,3.14,2.68,3.1
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,10.5,0.3,0.68,0.26,0.26,0.27,0.5,0.93
Тюменская область,5,Науки об обществе,Поданные,9.61,13.72,12.19,11.74,15.98,13.73,13.32,14.47
Тюменская область,5,Науки об обществе,Принятые,12.89,7.72,5.81,5.2,8.21,4.59,2.55,3.99
Тюменская область,6,Образование и педагогические науки,Поданные,4.31,5.12,4.24,4.25,3.55,4.11,3.19,2.72
Тюменская область,6,Образование и педагогические науки,Принятые,2.8,29.29,25.36,25.41,26.79,24.59,23.88,32.71
Тюменская область,7,Гуманитарные науки,Поданные,2.44,3.17,3.21,3.07,2.42,1.43,1.51,1.94
Тюменская область,7,Гуманитарные науки,Принятые,2.07,6.62,8.03,22.29,20.57,17.36,20.27,28.55
Тюменская область,8,Искусство и культура,Поданные,2.99,2.99,3.75,3.71,4.57,3.9,5.04,4.61
Тюменская область,8,Искусство и культура,Принятые,3.25,17.75,18.39,14.4,14.95,17.5,14.24,23.87
