region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, бюджет",0.15,0.4,0.32,0.36,0.49,0.5,0.42,0.5
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, коммерция",0.33,0.03,0.08,0.19,0.22,0.12,0.05,0.17
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, бюджет",0.22,0.89,0.85,0,0,0,0.07,0
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, коммерция",0.14,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, бюджет",5.78,5.29,5.85,5.47,4.78,4.75,4.27,4.93
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, коммерция",1.99,2.48,1.82,1.76,1.33,1.23,1.38,0.78
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, бюджет",6.86,0.11,0.34,0.2,0.2,0.45,0.3,0.28
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, коммерция",2.06,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, бюджет",4.78,5.09,5.46,5.83,8.86,7.6,10.49,11.38
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, коммерция",3.55,3.82,3.62,6.1,9.54,7.54,9.29,9.75
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, бюджет",3.9,1.22,0.64,0.33,0.2,0.26,0.4,0.6
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, коммерция",4.03,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, бюджет",0.65,0.34,0.67,0.81,0.49,0.77,1.02,0.86
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, коммерция",0.4,0.99,0.64,0.77,1.36,1.38,1.08,0.97
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, бюджет",0.44,0,0.03,0.07,0,0.9,0,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, коммерция",0.54,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, бюджет",1.43,1.61,1.82,2.02,1.81,1.91,1.51,1.89
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, коммерция",0.4,0.64,1.01,0.82,0.81,1.07,1.12,0.81
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, бюджет",1.35,0.04,0.14,0.23,0.03,0.03,0.17,0.4
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",0.54,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, бюджет",0.7,0.33,0.33,0.45,0.27,0.23,0.36,0.28
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, коммерция",0,0,0,0.07,0.12,0,0.09,0.03
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, бюджет",0.65,0,0,0.07,0,0,0.03,0
