region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,1,Математические и естественные науки,"Подано, бюджет",9.32,9.95,10.09,9.43,8.4,10.58,10.1,9.38
Нижегородская область,1,Математические и естественные науки,"Подано, коммерция",1.62,2.12,2.45,2.62,3.45,4.32,4.08,3.25
Нижегородская область,1,Математические и естественные науки,"Принято, бюджет",10.3,10.64,10.63,10.57,9.84,10.41,9.91,9.91
Нижегородская область,1,Математические и естественные науки,"Принято, коммерция",1.47,2.01,1.99,2.43,2.1,1.69,1.85,1.11
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",35.69,35.55,34.3,33.48,32.93,36.01,35.68,38.65
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",16.82,16.64,16.08,16.25,18.17,18.22,20.02,24.24
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",40.31,40.39,40.41,42.04,41.91,42.56,41.16,41.4
Нижегородская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",23.23,24.62,26.18,25.99,21.79,21.91,22.9,24.66
Нижегородская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",6.15,6.16,6.42,8.23,8.81,6.6,6.63,5.44
Нижегородская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",6.39,7.68,7.9,10.3,11.68,9.63,9.89,9.13
Нижегородская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",5.64,6.01,6.21,6.84,6.77,6.58,7.15,7.3
Нижегородская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",4.45,6.34,5.11,9.77,15.69,15.02,13.16,12.09
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",4.4,4.65,4.17,3.71,3.19,2.72,2.8,2.48
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.74,0.94,0.93,0.57,0.83,0.44,0.91,0.75
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",8.89,8.43,8.22,7.33,7.13,6.19,6.51,5.81
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",1.78,1.51,1.6,1.4,1.16,0.76,0.5,0.64
