region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,1,Математические и естественные науки,Поданные,6.79,7.41,7.71,7.39,6.85,8.79,8.31,7.51
Нижегородская область,1,Математические и естественные науки,Принятые,5.29,5.51,5.8,5.84,5.69,6,5.78,5.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Поданные,29.48,29.41,28.62,28.32,28.33,30.9,31.04,34.25
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Принятые,30.63,31.01,32.46,32.72,31.11,32.12,31.82,32.62
Нижегородская область,3,Здравоохранение и медицинские науки,Поданные,6.23,6.65,6.88,8.85,9.7,7.47,7.59,6.57
Нижегородская область,3,Здравоохранение и медицинские науки,Принятые,4.97,6.21,5.59,8.54,11.56,10.85,10.22,9.81
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,3.19,3.44,3.16,2.77,2.45,2.07,2.24,1.95
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,4.86,4.31,4.53,3.88,3.92,3.44,3.43,3.1
Нижегородская область,5,Науки об обществе,Поданные,35.69,32.52,32.94,29.83,31.93,33.67,34.15,28.93
Нижегородская область,5,Науки об обществе,Принятые,38.4,36.78,35.34,32.89,30.67,31.07,31.01,30.99
Нижегородская область,6,Образование и педагогические науки,Поданные,12.76,12.12,12.98,13.82,12.15,10.83,10.99,12.89
Нижегородская область,6,Образование и педагогические науки,Принятые,10.25,10.57,10.65,10.01,10.35,10.4,11.27,11.53
Нижегородская область,7,Гуманитарные науки,Поданные,4.94,7.5,6.8,8.34,7.59,5.64,4.82,6.67
Нижегородская область,7,Гуманитарные науки,Принятые,4.14,4.31,4.27,5.11,5.34,4.65,4.48,4.57
Нижегородская область,8,Искусство и культура,Поданные,0.92,0.94,0.91,0.68,1,0.64,0.84,1.24
Нижегородская область,8,Искусство и культура,Принятые,1.46,1.3,1.36,1.01,1.36,1.48,1.99,2.09
Самарская область,1,Математические и естественные науки,Поданные,4.08,2.91,3.63,3.94,5.04,6.88,5.77,6.16
Самарская область,1,Математические и естественные науки,Принятые,2.56,3.14,3.24,3.56,3.52,4.05,3.61,3.34
Самарская область,2,"Инженерное дело, технологии и технические науки",Поданные,44.87,47.22,41.87,40.41,39.54,45.61,47.37,46.13
Самарская область,2,"Инженерное дело, технологии и технические науки",Принятые,38.71,41.78,42.63,41.53,40.82,44.88,42.41,43.83
Самарская область,3,Здравоохранение и медицинские науки,Поданные,12.73,14.52,14.97,17.34,18.38,13.92,13.18,14.97
Самарская область,3,Здравоохранение и медицинские науки,Принятые,8.15,6.63,7.23,8.14,8.28,8.61,8.42,8.59
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1.14,1.31,1.27,1.07,0.99,0.98,1.06,0.93
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1.86,2.08,2.06,1.89,1.91,2.02,1.95,1.72
Самарская область,5,Науки об обществе,Поданные,24.08,21.05,24,22.18,24.04,19.91,19.02,19.65
Самарская область,5,Науки об обществе,Принятые,36.41,32.5,30.18,30.32,30.2,25.82,28.03,29.4
Самарская область,6,Образование и педагогические науки,Поданные,9.4,9.53,10.94,11.77,8.28,8.39,9.13,7.54
Самарская область,6,Образование и педагогические науки,Принятые,7.65,8.85,9.24,9.46,9.75,8.96,9.66,8.13
Самарская область,7,Гуманитарные науки,Поданные,1.99,1.83,1.94,2,2.33,3.28,3.11,3.24
Самарская область,7,Гуманитарные науки,Принятые,2.38,2.81,3.32,3.2,3.22,3.74,3.78,3.29
Самарская область,8,Искусство и культура,Поданные,1.72,1.61,1.37,1.28,1.4,1.04,1.37,1.38
Самарская область,8,Искусство и культура,Принятые,2.27,2.21,2.1,1.9,2.31,1.93,2.16,1.71
