region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, бюджет",2.98,3.44,4.09,3.79,3.64,4.77,4.97,5.04
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, коммерция",0.72,0.84,1.12,1.32,1.52,1.87,1.88,1.71
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, бюджет",3.25,3.36,3.61,3.75,3.4,3.95,3.94,3.82
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, коммерция",0.46,0.49,0.64,1.12,0.7,0.45,0.53,0.56
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, бюджет",1.59,1.89,1.17,1.27,0.97,2.23,2.01,1.53
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, коммерция",0.04,0.22,0.26,0.19,0.58,1.2,0.93,0.62
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, бюджет",1.36,1.42,1.09,1.07,1,1.04,1.05,1.01
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, коммерция",0.18,0.73,0.53,0.4,0.72,0.85,0.88,0.33
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, бюджет",1.57,1.66,1.69,1.52,1.06,1.1,0.96,1.08
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, коммерция",0.02,0.07,0.08,0.05,0.16,0.17,0.18,0.1
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, бюджет",1.92,2.13,2.14,2.01,1.76,1.7,1.55,1.64
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, коммерция",0.08,0.11,0.05,0.05,0,0.03,0.03,0.03
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Подано, бюджет",1.23,1.18,1.38,1.12,1.14,0.81,0.71,0.57
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Подано, коммерция",0.17,0.23,0.2,0.34,0.5,0.28,0.24,0.22
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Принято, бюджет",1.3,1.36,1.41,1.32,1.34,1.37,1.29,1.36
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Принято, коммерция",0.24,0.16,0.31,0.36,0.28,0.1,0.03,0.03
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, бюджет",0.81,0.77,0.71,0.72,0.83,0.8,0.68,0.6
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, коммерция",0.33,0.32,0.33,0.25,0.31,0.37,0.34,0.24
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, бюджет",1.05,0.96,0.96,0.92,0.92,1.04,0.77,0.82
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, коммерция",0.12,0.11,0.15,0.15,0.09,0.03,0.02,0.01
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, бюджет",1.13,1.01,1.05,1.02,0.76,0.86,0.76,0.57
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, коммерция",0.34,0.44,0.45,0.46,0.39,0.43,0.51,0.36
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Принято, бюджет",1.42,1.41,1.42,1.51,1.41,1.3,1.31,1.26
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Принято, коммерция",0.39,0.41,0.3,0.36,0.3,0.22,0.36,0.16
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, бюджет",0.74,0.62,0.64,0.46,0.59,0.35,0.3,0.38
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, коммерция",0.49,0.54,0.55,0.46,0.51,0.38,0.36,0.5
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, бюджет",0.89,0.67,0.65,0.67,0.78,0.64,0.62,0.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, коммерция",0.22,0.25,0.41,0.32,0.41,0.39,0.42,0.51
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, бюджет",3.38,3.35,2.8,2.33,2.58,2.3,1.95,1.71
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, коммерция",2.85,2.16,1.76,1.25,1.78,1.12,1.15,1.51
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, бюджет",5.63,4.23,4.15,4.45,4.48,4.13,3.94,3.53
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, коммерция",2.88,2.21,2.6,2.16,1.86,1.48,1.61,1.69
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, бюджет",6.96,8.14,8.17,8.41,9.54,11.94,13.08,15.4
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, коммерция",2.89,3.17,3.66,4.11,6.36,6.94,7.73,9.38
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, бюджет",5.94,6.94,7.11,7.19,8.54,9.6,10.17,10.41
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, коммерция",3.27,3.8,4.66,5.12,5.55,5.47,6.03,7.12
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, бюджет",0.76,0.83,0.67,0.77,0.59,0.77,1.39,1.48
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, коммерция",0.03,0.03,0.04,0.06,0.18,0.53,0.55,0.81
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, бюджет",1.05,1.1,1.09,1.07,1,0.89,1.29,1.11
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, коммерция",0.03,0.08,0.08,0.06,0.06,0.13,0.09,0.16
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, бюджет",3.53,3.21,3.26,3.61,3.27,4.01,3.94,4.33
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, коммерция",0.97,0.94,0.92,0.92,0.93,1.28,1.44,1.66
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, бюджет",4.48,4.07,3.89,4.04,4.01,4.2,3.92,3.76
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",1.58,1.52,1.65,1.58,0.9,0.61,1.16,0.92
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, бюджет",0.35,0.28,0.12,0.22,0.28,0.44,0.37,0.34
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, коммерция",0.24,0.18,0.16,0.11,0.12,0.1,0.15,0.19
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, бюджет",0.59,0.36,0.22,0.23,0.47,0.52,0.47,0.45
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, коммерция",0.43,0.35,0.44,0.24,0.08,0.16,0.21,0.35
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, бюджет",2.84,2.62,2.25,2.08,2.21,1.92,1.64,1.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, коммерция",1.19,1.18,1.06,0.94,0.96,0.94,0.87,0.87
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, бюджет",2.52,2.48,2.57,2.73,2.77,2.58,2.62,2.5
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, коммерция",1.77,1.87,1.84,1.72,1.36,1.84,1.52,1.44
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Подано, бюджет",0.93,0.81,0.78,1.11,0.92,1.14,1.05,1.31
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Подано, коммерция",0.07,0.06,0.1,0.16,0.15,0.2,0.23,0.27
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Принято, бюджет",0.94,1.27,1.42,1.28,1.18,1.29,1.32,1.21
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Принято, коммерция",0.07,0.02,0.02,0.18,0.01,0.04,0.01,0.05
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, бюджет",2.64,2.08,2.19,2.28,2,2.02,1.97,2.3
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, коммерция",3.35,3.66,3.03,2.84,2.31,2.25,2.01,2.54
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, бюджет",2.42,2.51,2.73,2.82,2.72,2.76,2.62,2.25
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, коммерция",6.27,7.5,6.31,6.09,4.39,5.42,4.9,4.99
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Подано, бюджет",0.33,0.2,0.19,0.12,0.17,0.14,0.17,0.17
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Подано, коммерция",0.03,0.02,0.02,0,0.02,0.02,0.04,0.03
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Принято, бюджет",0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.2
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Принято, коммерция",0.02,0,0.02,0,0,0.01,0.01,0
