region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Поданные,2.24,2.6,3.17,3.05,2.98,3.94,4.05,4.02
Нижегородская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Принятые,1.67,1.65,1.95,2.22,1.95,2.18,2.2,2.11
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Поданные,1.08,1.34,0.89,0.94,0.85,1.94,1.69,1.26
Нижегородская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Принятые,0.69,1.01,0.77,0.68,0.85,0.95,0.96,0.65
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Поданные,1.06,1.14,1.19,1.08,0.78,0.83,0.73,0.78
Нижегородская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Принятые,0.87,0.93,0.97,0.87,0.81,0.85,0.77,0.79
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,Поданные,0.88,0.87,1.01,0.88,0.94,0.66,0.57,0.46
Нижегородская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,Принятые,0.7,0.64,0.8,0.76,0.77,0.73,0.64,0.66
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Поданные,0.66,0.62,0.59,0.58,0.66,0.68,0.58,0.49
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Принятые,0.53,0.46,0.51,0.47,0.47,0.53,0.39,0.39
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Поданные,0.87,0.83,0.86,0.85,0.64,0.74,0.68,0.51
Нижегородская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Принятые,0.84,0.81,0.8,0.84,0.82,0.76,0.82,0.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.66,0.59,0.62,0.46,0.56,0.36,0.32,0.41
Нижегородская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.51,0.42,0.51,0.46,0.58,0.51,0.52,0.53
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,3.21,2.96,2.48,2.01,2.33,1.96,1.71,1.65
Нижегородская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,4.07,3.03,3.29,3.12,3.07,2.79,2.75,2.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,5.62,6.53,6.77,7.12,8.55,10.51,11.5,13.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,4.43,5.07,5.74,5.99,6.93,7.51,8.05,8.68
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,0.52,0.57,0.48,0.56,0.46,0.7,1.14,1.28
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,0.47,0.49,0.53,0.48,0.5,0.5,0.67,0.61
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,2.69,2.48,2.53,2.81,2.54,3.23,3.2,3.51
Нижегородская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,2.83,2.55,2.64,2.61,2.34,2.38,2.51,2.27
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Поданные,0.31,0.25,0.13,0.18,0.23,0.34,0.31,0.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Принятые,0.5,0.36,0.34,0.24,0.26,0.34,0.34,0.4
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,2.3,2.15,1.88,1.74,1.82,1.64,1.41,1.35
Нижегородская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,2.09,2.12,2.17,2.14,2.01,2.21,2.05,1.95
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,Поданные,0.64,0.57,0.57,0.82,0.68,0.87,0.81,0.99
Нижегородская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,Принятые,0.44,0.52,0.64,0.64,0.55,0.66,0.65,0.6
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,2.88,2.6,2.45,2.45,2.1,2.09,1.98,2.37
Нижегородская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,4.6,5.47,4.73,4.72,3.62,4.11,3.79,3.69
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,Поданные,0.23,0.14,0.14,0.09,0.12,0.11,0.13,0.13
Нижегородская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,Принятые,0.12,0.1,0.12,0.11,0.11,0.13,0.13,0.1
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,0.44,0.45,0.52,0.51,0.52,0.43,0.32,0.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,0.65,0.83,0.93,0.86,0.82,0.74,0.83,0.77
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,0.34,0.32,0.44,0.54,0.39,0.37,0.33,0.29
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,0.54,0.51,0.51,0.65,0.46,0.52,0.54,0.55
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,0.8,0.71,0.61,0.63,0.45,0.61,0.52,0.49
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,0.29,0.27,0.31,0.41,0.35,0.35,0.34,0.42
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,1.28,1.23,1.18,1.05,0.87,1.39,1.3,1.24
