region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,1,Математические и естественные науки,"Подано, бюджет",4,5.58,5.47,5.88,5.27,7.09,7.38,6.5
Волгоградская область,1,Математические и естественные науки,"Подано, коммерция",0.84,1.2,1.81,1.56,2.1,1.7,1.86,1.69
Волгоградская область,1,Математические и естественные науки,"Принято, бюджет",4.11,4.42,4.47,5.08,5.44,5.87,6.48,6.26
Волгоградская область,1,Математические и естественные науки,"Принято, коммерция",0.4,0.35,0.72,0.63,0.93,0.53,0.19,0.16
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",34.49,31.4,31,29.88,30.8,32.91,33.13,31.9
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",14.63,14.59,15.76,17.67,17.27,14.61,15.07,20.13
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",40.07,39.88,42.41,39.42,43.19,40.29,41.98,40.77
Волгоградская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",24.5,26.43,28.57,33.49,28.56,29.08,30.13,29.92
Волгоградская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",13.68,13,14.38,17.68,19.99,16.91,15.68,16.92
Волгоградская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",11.52,12.19,15.44,19.75,24.05,26.52,24.79,22.72
Волгоградская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",9.84,10.1,9.97,9.82,9.05,10.31,10.25,11.13
Волгоградская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",6.26,8.37,9.51,8.67,11.61,14.25,14.82,15.56
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",4.93,4.66,5.23,5.02,3.41,3.3,3.48,3.77
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.88,0.89,1.07,1.05,0.65,0.58,1.07,1.07
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",8.67,8.81,8.28,8.23,7.9,7.6,7.92,7.83
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",1.51,1.65,2.11,2.11,1.12,0.77,1.34,0.9
Волгоградская область,5,Науки об обществе,"Подано, бюджет",22.4,23.64,22.93,21.24,19.62,22.57,20.72,21.27
Волгоградская область,5,Науки об обществе,"Подано, коммерция",57.68,54.14,48.45,43.68,37.87,42.07,39.86,37.63
Волгоградская область,5,Науки об обществе,"Принято, бюджет",12.12,11.98,10.09,11.01,10.7,9.32,10.04,10.56
Волгоградская область,5,Науки об обществе,"Принято, коммерция",60,55.29,50.68,45.81,45.72,47.58,45.27,46.49
Волгоградская область,6,Образование и педагогические науки,"Подано, бюджет",15.92,16.24,15.75,15.19,14.55,11.97,14.55,13.27
Волгоградская область,6,Образование и педагогические науки,"Подано, коммерция",10.51,11.27,11.36,10.76,13.36,9.7,10.73,11.38
Волгоградская область,6,Образование и педагогические науки,"Принято, бюджет",15.78,15.47,15.92,16.87,14.01,16.86,14.67,14.94
Волгоградская область,6,Образование и педагогические науки,"Принято, коммерция",4.35,5.1,5.36,5.59,7.7,3.97,4.97,4.05
Волгоградская область,7,Гуманитарные науки,"Подано, бюджет",3.27,3.64,3.51,3.39,3.59,3.86,3.94,4.61
Волгоградская область,7,Гуманитарные науки,"Подано, коммерция",3.47,5.18,5.59,4.95,3.24,4.02,6.02,4.63
Волгоградская область,7,Гуманитарные науки,"Принято, бюджет",5.15,5.2,5.07,5.27,5.07,5.33,5.04,4.78
Волгоградская область,7,Гуманитарные науки,"Принято, коммерция",2.39,2.33,2.61,2.93,3.57,3.22,2.65,2.43
Волгоградская область,8,Искусство и культура,"Подано, бюджет",1.31,1.84,1.73,1.73,2.76,1.4,1.1,1.76
Волгоградская область,8,Искусство и культура,"Подано, коммерция",0.45,0.54,0.52,0.57,1.45,0.81,0.61,0.74
Волгоградская область,8,Искусство и культура,"Принято, бюджет",4.25,4.13,3.79,4.3,4.64,4.42,3.62,3.73
Волгоградская область,8,Искусство и культура,"Принято, коммерция",0.59,0.5,0.44,0.77,0.78,0.59,0.63,0.5
Ростовская область,1,Математические и естественные науки,"Подано, бюджет",4.25,4.38,4.49,5.22,4.83,6.04,6.2,6.96
Ростовская область,1,Математические и естественные науки,"Подано, коммерция",1.21,0.9,1.11,2.38,2.42,1.94,2.19,3.18
Ростовская область,1,Математические и естественные науки,"Принято, бюджет",4.88,5.45,5.85,5.27,5.38,5.95,6.16,6.66
Ростовская область,1,Математические и естественные науки,"Принято, коммерция",0.12,0.2,0.55,1.07,1.21,0.49,0.59,1.02
Ростовская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",45.44,46.73,46.51,46.33,44.49,43.27,42.89,48.08
Ростовская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",17.17,16.85,16.93,16.57,17.53,15.65,18.34,21.73
Ростовская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",58.84,61.31,61.13,59.86,60.82,57.84,57.19,57.44
Ростовская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",26.32,23.76,25.7,24.81,23.37,23.67,23.07,25.12
Ростовская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",10.88,12.91,11.97,11.77,13.65,12.84,11.13,8.62
Ростовская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",13.45,15.68,16.38,15.72,16.79,16.37,15.59,10.79
Ростовская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",6.57,6.9,6.87,6.85,6.8,7.28,7.58,7.81
Ростовская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",3.88,4.38,4.18,3.98,4.53,5.45,4.15,3.75
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",2.3,2.33,2.6,2.35,1.83,2,2.26,2.28
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.53,0.61,0.83,0.8,0.67,0.83,0.59,0.91
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",5.05,5.08,4.95,5.18,5.19,4.7,4.81,4.23
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",0.86,0.82,0.88,0.95,0.47,0.68,1.17,0.96
Ростовская область,5,Науки об обществе,"Подано, бюджет",26.64,23.48,24.53,23.22,22.33,23.26,23.02,20.5
Ростовская область,5,Науки об обществе,"Подано, коммерция",56.1,54.32,52.81,50.58,47.22,51.64,48.27,46.86
Ростовская область,5,Науки об обществе,"Принято, бюджет",12.07,9.46,9.25,10.16,8.87,10.58,10.08,10.86
Ростовская область,5,Науки об обществе,"Принято, коммерция",59.77,59.13,57.04,56.8,57.23,54.38,56.71,53.46
Ростовская область,6,Образование и педагогические науки,"Подано, бюджет",6.46,6.23,6.03,6.32,7.7,7.25,8.2,7.54
Ростовская область,6,Образование и педагогические науки,"Подано, коммерция",6.6,7.63,7.7,8.87,9.58,7.37,7.65,9.56
Ростовская область,6,Образование и педагогические науки,"Принято, бюджет",8.03,7.69,8.19,8.35,8.73,8.85,8.91,7.63
Ростовская область,6,Образование и педагогические науки,"Принято, коммерция",4.79,6.47,6.4,6.69,6.71,7.03,6.75,9.02
Ростовская область,7,Гуманитарные науки,"Подано, бюджет",2.84,2.44,2.57,3.49,3.95,3.95,4.58,4.49
Ростовская область,7,Гуманитарные науки,"Подано, коммерция",3.83,2.8,3.06,3.91,4.44,4.38,5.26,4.88
Ростовская область,7,Гуманитарные науки,"Принято, бюджет",2.51,2.11,2.12,2.91,2.83,3.04,3.29,3.28
Ростовская область,7,Гуманитарные науки,"Принято, коммерция",3.13,3.83,3.85,4.2,4.53,5.51,4.97,4.03
Ростовская область,8,Искусство и культура,"Подано, бюджет",1.19,1.5,1.3,1.29,1.23,1.39,1.73,1.53
Ростовская область,8,Искусство и культура,"Подано, коммерция",1.11,1.21,1.17,1.16,1.36,1.82,2.1,2.08
Ростовская область,8,Искусство и культура,"Принято, бюджет",2.04,2.01,1.64,1.43,1.38,1.75,1.98,2.1
Ростовская область,8,Искусство и культура,"Принято, коммерция",1.13,1.42,1.39,1.49,1.95,2.78,2.6,2.64
