region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,1,Математические и естественные науки,Поданные,2.91,4.09,4.23,4.44,4.25,5.64,5.79,4.92
Волгоградская область,1,Математические и естественные науки,Принятые,1.95,2.15,2.38,2.58,3.08,3.22,3.16,2.86
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Поданные,27.6,25.68,25.86,25.8,26.44,27.99,27.92,28.05
Волгоградская область,2,"Инженерное дело, технологии и технические науки",Принятые,31.01,32.37,34.68,36.08,35.54,34.73,35.72,34.73
Волгоградская область,3,Здравоохранение и медицинские науки,Поданные,12.93,12.73,14.74,18.37,21.3,19.49,18.31,18.82
Волгоградская область,3,Здравоохранение и медицинские науки,Принятые,7.76,9.13,9.71,9.17,10.39,12.26,12.67,13.6
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,3.52,3.38,3.83,3.69,2.52,2.57,2.78,2.88
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,4.5,4.81,4.84,4.79,4.35,4.21,4.44,3.97
Волгоградская область,5,Науки об обществе,Поданные,34.65,34.01,31.54,28.74,25.5,27.81,26.25,26.63
Волгоградская область,5,Науки об обществе,Принятые,39.99,36.17,32.76,30.58,29.02,28.31,28.65,30.57
Волгоградская область,6,Образование и педагогические науки,Поданные,14.04,14.55,14.27,13.71,14.17,11.36,13.45,12.65
Волгоградская область,6,Образование и педагогические науки,Принятые,9.12,9.68,10.02,10.53,10.71,10.46,9.55,8.87
Волгоградская область,7,Гуманитарные науки,Поданные,3.34,4.16,4.22,3.91,3.48,3.9,4.54,4.62
Волгоградская область,7,Гуманитарные науки,Принятые,3.55,3.6,3.69,3.96,4.29,4.28,3.78,3.47
Волгоградская область,8,Искусство и культура,Поданные,1.01,1.4,1.32,1.34,2.34,1.24,0.96,1.42
Волгоградская область,8,Искусство и культура,Принятые,2.12,2.1,1.92,2.32,2.62,2.52,2.04,1.93
Ростовская область,1,Математические и естественные науки,Поданные,3.2,3.18,3.43,4.33,4.04,4.82,4.83,5.63
Ростовская область,1,Математические и естественные науки,Принятые,2.25,2.62,2.97,2.96,3.15,3.38,3.18,3.45
Ростовская область,2,"Инженерное дело, технологии и технические науки",Поданные,35.64,36.39,37.25,36.97,35.69,35.1,34.51,38.81
Ростовская область,2,"Инженерное дело, технологии и технические науки",Принятые,40.89,41.05,41.84,40.54,40.84,41.71,38.96,39.04
Ростовская область,3,Здравоохранение и медицинские науки,Поданные,11.77,13.87,13.35,13.01,14.67,13.88,12.65,9.38
Ростовская область,3,Здравоохранение и медицинские науки,Принятые,5.08,5.54,5.4,5.27,5.59,6.42,5.75,5.5
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1.68,1.74,2.05,1.86,1.45,1.66,1.69,1.8
Ростовская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,2.74,2.78,2.73,2.85,2.67,2.8,2.86,2.37
Ростовская область,5,Науки об обществе,Поданные,36.85,34.16,33.39,31.83,30.45,31.66,31.64,29.77
Ростовская область,5,Науки об обществе,Принятые,38.41,36.25,35.28,35.87,34.68,31.26,34.99,35.11
Ростовская область,6,Образование и педагогические науки,Поданные,6.51,6.71,6.55,7.12,8.31,7.29,8.01,8.25
Ростовская область,6,Образование и педагогические науки,Принятые,6.24,7.03,7.22,7.43,7.65,7.99,7.76,8.42
Ростовская область,7,Гуманитарные науки,Поданные,3.18,2.56,2.72,3.62,4.11,4.07,4.81,4.63
Ростовская область,7,Гуманитарные науки,Принятые,2.85,3.04,3.06,3.62,3.74,4.2,4.19,3.71
Ростовская область,8,Искусство и культура,Поданные,1.17,1.4,1.26,1.25,1.27,1.51,1.86,1.72
Ростовская область,8,Искусство и культура,Принятые,1.54,1.69,1.51,1.46,1.69,2.24,2.31,2.41
