region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, бюджет",0.34,0.37,0.46,0.82,0.64,1.75,1.85,1.79
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, коммерция",0.02,0.05,0.08,0.09,0.23,0.41,0.55,0.39
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, бюджет",0.43,0.46,0.52,0.76,0.84,1.31,1.39,1.36
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, коммерция",0.01,0.04,0.04,0.03,0.11,0.13,0.03,0.04
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, бюджет",0.78,0.99,1,1.19,1.05,1.6,2.01,1.39
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, коммерция",0.05,0.16,0.24,0.19,0.41,0.06,0.08,0.08
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, бюджет",0.94,0.93,0.95,1.08,1.26,1,1.39,1.37
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, коммерция",0.04,0.09,0.15,0.23,0.17,0.03,0,0
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, бюджет",0.9,1.4,1.25,1.36,1.12,1.44,1.35,0.9
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, коммерция",0.06,0.08,0.07,0.07,0.15,0.08,0.07,0.1
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, бюджет",0.77,0.88,0.93,0.99,1.09,1.23,1.42,1.05
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, коммерция",0.01,0.01,0.04,0.04,0.02,0.03,0.01,0.04
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, бюджет",0.95,1.01,1.38,1.18,0.88,0.88,0.65,0.8
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, коммерция",0.22,0.16,0.64,0.42,0.3,0.31,0.28,0.28
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, бюджет",1.36,1.22,1.26,1.36,1.38,1.25,1.08,1.25
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, коммерция",0.17,0.08,0.3,0.21,0.28,0.17,0.11,0.07
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, бюджет",1.04,1.81,1.38,1.33,1.59,1.42,1.53,1.63
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, коммерция",0.51,0.74,0.79,0.78,1.01,0.83,0.88,0.84
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Принято, бюджет",0.63,0.93,0.81,0.88,0.87,1.08,1.19,1.23
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Принято, коммерция",0.17,0.12,0.19,0.12,0.37,0.17,0.04,0.01
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, бюджет",1.07,1.07,0.98,1.22,1,0.88,0.79,0.84
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Подано, коммерция",0.75,0.62,0.75,0.46,0.6,0.44,0.47,0.58
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, бюджет",1.51,1.52,1.52,1.42,1.6,1.36,1.11,1.2
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,"Принято, коммерция",0.44,0.86,0.85,0.85,0.51,0.56,0.75,0.53
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, бюджет",4.3,3,2.84,2.14,2.41,2,1.86,1.97
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Подано, коммерция",2.07,1.91,2.2,2.68,2.33,1.95,2.08,2.35
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, бюджет",7.8,7.42,7.88,5.58,5.46,5.59,5.16,3.62
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,"Принято, коммерция",3.67,3.35,4.05,6.5,5.87,4.96,5.81,6.35
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, бюджет",4.75,6.09,6.37,6.62,8.06,11.24,12.1,10.12
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Подано, коммерция",2.39,2.58,2.47,2.63,4.08,2.76,3.8,5.21
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, бюджет",4.9,5.68,6.09,6.28,8.65,8.86,9.45,10.11
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,"Принято, коммерция",4.42,4.55,4.58,4.89,4.07,4.61,5.12,5.07
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, бюджет",1.14,1.02,1.18,1.24,1.77,2.76,3.18,2.1
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Подано, коммерция",0.15,0.09,0.19,0.25,0.59,0.38,0.46,0.67
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, бюджет",0.85,0.85,0.91,1.04,1.53,1.66,2.09,1.97
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,"Принято, коммерция",0.04,0,0.08,0.06,0.11,0,0.01,0
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, бюджет",1.1,1.05,1.06,0.98,1.39,1.35,1.73,1.51
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Подано, коммерция",0.09,0.12,0.12,0.12,0.23,0.07,0.15,0.19
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, бюджет",0.61,0.56,0.64,0.73,1.58,1.37,1.92,1.25
Волгоградская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",0.01,0.09,0.05,0.04,0,0,0,0
Волгоградская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, бюджет",0.57,0.72,1.17,1.19,1.07,1.22,1.2,1.48
Волгоградская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Подано, коммерция",0.29,0.24,0.44,0.42,0.48,0.27,0.3,0.37
Волгоградская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, бюджет",0.34,0.58,0.78,0.8,0.69,0.96,0.96,1.29
Волгоградская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии","Принято, коммерция",0.2,0.09,0.15,0.01,0.05,0.03,0,0.01
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, бюджет",2.5,2.49,2.52,3.02,2.89,2.41,1.64,1.7
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, коммерция",2.28,2.18,2.12,2.19,2.1,1.79,1.71,1.75
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, бюджет",3.49,2.9,3.52,4.09,3.88,3.99,2.77,3.21
Волгоградская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, коммерция",3.96,4.34,4.56,4.71,4.56,3.96,3.99,3.58
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, бюджет",4.05,3.6,3.34,3.43,3.04,2.99,2.77,3.72
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, коммерция",2.34,2.78,2.16,2.49,2.01,2.12,1.57,3.32
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, бюджет",4.34,4.54,4.55,4.71,4.45,3.53,3.63,4.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, коммерция",4.71,5.81,4.76,4.84,3.75,4.47,3.75,5.42
Волгоградская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Подано, бюджет",0.38,0.38,0.36,0.33,0.3,0.3,0.31,0.33
Волгоградская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Подано, коммерция",0,0,0.01,0.02,0.04,0.03,0.03,0.06
Волгоградская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Принято, бюджет",0.43,0.42,0.47,0.48,0.42,0.39,0.39,0.39
Волгоградская область,2,"Инженерное дело, технологии и технические науки",17,2.17.00.00 - Оружие и системы вооружения,"Принято, коммерция",0,0,0,0,0,0,0,0
Волгоградская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, бюджет",2.75,2.27,2.04,1.94,1.47,1.85,1.44,1.69
