region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Поданные,0.22,0.26,0.33,0.57,0.51,1.39,1.47,1.33
Волгоградская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Принятые,0.18,0.22,0.25,0.35,0.46,0.72,0.67,0.62
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Поданные,0.53,0.71,0.74,0.86,0.84,1.18,1.45,0.96
Волгоградская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Принятые,0.41,0.46,0.5,0.6,0.69,0.52,0.66,0.61
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Поданные,0.61,0.95,0.85,0.93,0.81,1.08,0.98,0.63
Волгоградская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Принятые,0.33,0.4,0.43,0.46,0.53,0.64,0.68,0.48
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Поданные,0.69,0.72,1.13,0.93,0.69,0.73,0.55,0.63
Волгоградская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Принятые,0.67,0.58,0.72,0.71,0.8,0.71,0.57,0.59
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Поданные,0.85,1.45,1.18,1.15,1.4,1.26,1.34,1.37
Волгоградская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Принятые,0.36,0.48,0.46,0.46,0.61,0.63,0.58,0.55
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.96,0.92,0.9,0.96,0.87,0.76,0.7,0.75
Волгоградская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.89,1.15,1.14,1.1,1.03,0.96,0.92,0.83
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,3.52,2.62,2.63,2.32,2.39,1.99,1.93,2.09
Волгоградская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,5.4,5.15,5.74,6.1,5.67,5.28,5.51,5.14
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,3.93,4.9,5.06,5.28,6.77,8.96,9.7,8.51
Волгоградская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,4.62,5.05,5.25,5.5,6.26,6.75,7.16,7.3
Волгоградская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,0.8,0.71,0.84,0.91,1.39,2.12,2.4,1.63
