region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,1,Математические и естественные науки,"Подано, бюджет",3.44,3.73,4.25,4.29,3.65,4.88,3.9,3.56
Омская область,1,Математические и естественные науки,"Подано, коммерция",0.51,0.94,0.95,0.97,1.05,0.84,0.87,0.97
Омская область,1,Математические и естественные науки,"Принято, бюджет",4.48,4.58,4.56,4.79,4.19,4.62,3.55,3.6
Омская область,1,Математические и естественные науки,"Принято, коммерция",0.15,0.16,0.31,0.28,0.28,0.03,0.05,0.02
Омская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",46.98,45.43,48.83,49.54,46.53,54.41,56.28,55.26
Омская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",19.91,16.54,19.89,22.39,21.9,21.88,24.44,28.46
Омская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",56.66,55.57,57.49,56.35,57.4,55.02,58.27,58.43
Омская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",20.56,20.62,22.59,24.59,20.22,22.68,22.57,31.1
Омская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",8.03,8.13,8.3,9.11,11.19,6.02,4.75,7.26
Омская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",10.45,10.64,11.4,11.44,13.2,7.72,7.98,9.26
Омская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",7.55,7.44,7.73,8.24,6.56,7.02,6.75,6.86
Омская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",4.17,4.86,4.9,4.6,5.3,3.83,3.15,3.36
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",3.82,3.69,3.72,4.29,3.13,1,3.83,3.44
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",0.74,0.54,0.34,0.33,0.25,0.24,0.61,0.82
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",5.01,4.84,5.35,6.4,5.68,5.85,5.68,5.56
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",0.71,0.71,0.54,0.48,0.42,0.47,0.44,0.55
Омская область,5,Науки об обществе,"Подано, бюджет",15.6,16.06,11.82,8.13,15.81,13.36,12.18,10.93
Омская область,5,Науки об обществе,"Подано, коммерция",55.34,56.81,53.59,49.42,48.46,50.44,46.47,44.27
Омская область,5,Науки об обществе,"Принято, бюджет",6.44,7.76,5.99,5.24,5.77,4.58,4.24,4.21
Омская область,5,Науки об обществе,"Принято, коммерция",60.66,59.11,57.59,55.59,57.25,52.09,49.98,46.87
Омская область,6,Образование и педагогические науки,"Подано, бюджет",16.03,16.39,16.78,19.8,13.29,13.81,14.23,14.92
Омская область,6,Образование и педагогические науки,"Подано, коммерция",9.41,10.28,9.95,11.26,10.49,13.68,14.96,11.08
Омская область,6,Образование и педагогические науки,"Принято, бюджет",10.14,10.65,9.97,11,11.78,14.07,14.23,13.96
Омская область,6,Образование и педагогические науки,"Принято, коммерция",11.33,11.55,11.25,11.27,13.04,17.35,20.89,14.57
Омская область,7,Гуманитарные науки,"Подано, бюджет",4.33,4.75,4.49,3.89,4.37,4.25,3.51,3.15
Омская область,7,Гуманитарные науки,"Подано, коммерция",1.95,2.63,2.38,2.76,2.61,3.14,2.83,2.75
Омская область,7,Гуманитарные науки,"Принято, бюджет",7.23,6.8,6.61,6.83,6.28,6.44,5.81,5.85
Омская область,7,Гуманитарные науки,"Принято, коммерция",1.32,1.73,1.94,1.96,2.3,2.44,1.9,2.01
Омская область,8,Искусство и культура,"Подано, бюджет",1.78,1.82,1.81,0.95,2.02,2.28,1.33,1.48
Омская область,8,Искусство и культура,"Подано, коммерция",1.68,1.62,1.49,1.43,2.05,2.06,1.84,2.38
Омская область,8,Искусство и культура,"Принято, бюджет",2.49,2.36,2.3,1.16,2.34,2.39,1.46,1.52
Омская область,8,Искусство и культура,"Принято, коммерция",1.11,1.26,0.88,1.24,1.19,1.11,1.02,1.51
Тюменская область,1,Математические и естественные науки,"Подано, бюджет",10.17,10.82,10.58,11.42,11.23,11.05,12.68,12.48
Тюменская область,1,Математические и естественные науки,"Подано, коммерция",3.92,4.23,5.14,5.7,6.1,5.5,7.88,6
Тюменская область,1,Математические и естественные науки,"Принято, бюджет",10.94,11.39,10.52,9.94,10.78,11.25,10.8,9.82
Тюменская область,1,Математические и естественные науки,"Принято, коммерция",2.14,2.51,3.57,4.34,4.42,2.96,3.2,2.61
Тюменская область,2,"Инженерное дело, технологии и технические науки","Подано, бюджет",44.77,45.8,46.85,44.5,39.99,51.6,46.49,44.91
Тюменская область,2,"Инженерное дело, технологии и технические науки","Подано, коммерция",38.96,44.78,47.36,51.6,38.73,50.18,45.25,39.49
Тюменская область,2,"Инженерное дело, технологии и технические науки","Принято, бюджет",45.5,44.78,43.2,44.94,45.5,45.15,48.95,47.99
Тюменская область,2,"Инженерное дело, технологии и технические науки","Принято, коммерция",36.37,34.37,37.91,39.2,36.02,40.1,39.48,35.03
Тюменская область,3,Здравоохранение и медицинские науки,"Подано, бюджет",13.54,13.31,11.67,12.88,15.53,8.4,7.94,11.71
Тюменская область,3,Здравоохранение и медицинские науки,"Подано, коммерция",9.38,8.22,8.97,8.1,10.9,7.17,7.87,14.58
Тюменская область,3,Здравоохранение и медицинские науки,"Принято, бюджет",11.34,11.99,12.01,12.53,11.32,11.35,11.22,11.87
Тюменская область,3,Здравоохранение и медицинские науки,"Принято, коммерция",4.17,4.92,5.42,5.75,7.96,7.16,9.68,19.85
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, бюджет",5.45,5.15,6.84,6.18,5.92,6.35,5.8,4.77
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,"Подано, коммерция",1.04,1.31,1.65,1.64,2.69,5.99,2.64,2.25
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, бюджет",8.41,8.36,8.75,9.7,9.27,8.67,8.55,7.62
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",3.06,2.68,3.6,4.26,1.66,2.46,2,1.74
Тюменская область,5,Науки об обществе,"Подано, бюджет",9.56,9.3,11.18,11.84,11.11,11.45,15.23,13.9
Тюменская область,5,Науки об обществе,"Подано, коммерция",34.02,29.46,25.57,23.4,29.98,22.69,24.2,23.82
Тюменская область,5,Науки об обществе,"Принято, бюджет",3.39,3.3,4.59,4.08,3.81,5.89,4.82,6.33
Тюменская область,5,Науки об обществе,"Принято, коммерция",39.21,39.67,34.21,32.82,34.24,32.79,29.71,21.79
Тюменская область,6,Образование и педагогические науки,"Подано, бюджет",11.16,10.28,8.59,8.71,9.8,6.78,7.6,7.3
Тюменская область,6,Образование и педагогические науки,"Подано, коммерция",7.06,5.8,6.29,4.67,5.05,4.79,7.05,7.32
Тюменская область,6,Образование и педагогические науки,"Принято, бюджет",15.64,16.17,15.94,14.46,14.76,12.96,11.17,11.46
Тюменская область,6,Образование и педагогические науки,"Принято, коммерция",8.18,8.14,8.8,6.55,7.08,7.5,8.81,11.78
Тюменская область,7,Гуманитарные науки,"Подано, бюджет",2.12,2.57,2.18,2.52,4.13,2.91,3.07,3.42
Тюменская область,7,Гуманитарные науки,"Подано, коммерция",3.76,4.6,3.81,3.59,4.59,2.93,3.99,4.58
Тюменская область,7,Гуманитарные науки,"Принято, бюджет",0.85,0.55,0.79,1.14,1.98,1.9,1.73,2.22
Тюменская область,7,Гуманитарные науки,"Принято, коммерция",5.55,6.28,5.57,5.84,7.04,6.36,5.82,5.65
Тюменская область,8,Искусство и культура,"Подано, бюджет",2.76,2.76,2.12,1.95,2.3,1.47,1.2,1.51
