region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,1,Математические и естественные науки,Поданные,2.5,2.86,3.21,3.26,2.81,3.74,3.06,2.73
Омская область,1,Математические и естественные науки,Принятые,1.7,1.93,1.94,1.93,1.85,1.83,1.48,1.51
Омская область,2,"Инженерное дело, технологии и технические науки",Поданные,38.3,36.35,39.7,41.07,38.53,45.27,47.49,46.69
Омская область,2,"Инженерное дело, технологии и технические науки",Принятые,33.52,34.61,36.01,36.25,35.16,35.35,37.1,42.48
Омская область,3,Здравоохранение и медицинские науки,Поданные,8.81,8.92,9.28,9.84,11.85,6.5,5.64,7.9
Омская область,3,Здравоохранение и медицинские науки,Принятые,5.38,5.89,5.99,5.93,5.81,5.08,4.62,4.82
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,2.84,2.7,2.65,3.05,2.2,0.79,2.94,2.6
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,2.25,2.36,2.39,2.65,2.53,2.58,2.58,2.64
Омская область,5,Науки об обществе,Поданные,28.34,28.86,25,21.01,26.41,23.77,21.65,21.59
Омская область,5,Науки об обществе,Принятые,41.19,38.56,37.76,37.11,36.57,33.47,31.36,29.11
Омская область,6,Образование и педагогические науки,Поданные,13.91,14.47,14.63,17.13,12.38,13.77,14.43,13.69
Омская область,6,Образование и педагогические науки,Принятые,10.9,11.19,10.76,11.17,12.53,16.07,18.18,14.32
Омская область,7,Гуманитарные науки,Поданные,3.56,4.08,3.83,3.54,3.8,3.94,3.32,3.02
Омская область,7,Гуманитарные науки,Принятые,3.44,3.76,3.74,3.75,3.9,4.01,3.49,3.61
Омская область,8,Искусство и культура,Поданные,1.75,1.76,1.71,1.1,2.03,2.22,1.48,1.77
Омская область,8,Искусство и культура,Принятые,1.61,1.7,1.43,1.21,1.65,1.61,1.2,1.52
Тюменская область,1,Математические и естественные науки,Поданные,7.17,7.62,8.23,9,9.2,9.02,10.96,10.14
Тюменская область,1,Математические и естественные науки,Принятые,5.27,5.79,6.27,6.63,7.6,7.51,7.35,6.18
Тюменская область,2,"Инженерное дело, технологии и технические науки",Поданные,41.98,45.3,47.07,47.52,39.49,51.08,46.04,42.95
Тюменская область,2,"Инженерное дело, технологии и технические науки",Принятые,39.62,38.21,39.96,41.54,40.76,42.87,44.65,41.45
Тюменская область,3,Здравоохранение и медицинские науки,Поданные,11.54,10.84,10.5,10.85,13.7,7.96,7.92,12.75
Тюменская область,3,Здравоохранение и медицинские науки,Принятые,6.72,7.53,7.97,8.51,9.64,9.46,10.52,15.9
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,3.34,3.29,4.6,4.25,4.64,6.22,4.67,3.86
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,4.97,4.78,5.6,6.48,5.46,5.87,5.58,4.65
Тюменская область,5,Науки об обществе,Поданные,21.29,19.1,17.38,16.75,18.57,15.55,18.44,17.48
Тюменская область,5,Науки об обществе,Принятые,26.47,26.25,22.72,21.09,19.03,18.03,16.11,14.14
Тюменская область,6,Образование и педагогические науки,Поданные,9.19,8.1,7.6,6.99,7.92,6.05,7.4,7.31
Тюменская область,6,Образование и педагогические науки,Принятые,10.83,11.1,11.57,9.78,10.92,10.49,10.1,11.62
Тюменская область,7,Гуманитарные науки,Поданные,2.91,3.55,2.88,2.97,4.31,2.92,3.4,3.84
Тюменская область,7,Гуманитарные науки,Принятые,3.88,4.17,3.72,3.92,4.51,3.91,3.59,3.95
Тюменская область,8,Искусство и культура,Поданные,2.15,2.19,1.73,1.68,2.17,1.21,1.17,1.67
Тюменская область,8,Искусство и культура,Принятые,2.08,2.17,2.2,2.04,2.08,1.86,2.1,2.11
Тюменская область,NA,NA,Поданные,0.43,NA,NA,NA,NA,NA,NA,NA
Тюменская область,NA,NA,Принятые,0.16,NA,NA,NA,NA,NA,NA,NA
