region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, бюджет",0.68,0.73,0.89,0.92,0.81,1.11,0.95,1.49
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Подано, коммерция",0.12,0.23,0.25,0.27,0.26,0.18,0.16,0.41
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, бюджет",1.45,1.08,1.2,1.28,1.26,1.32,0.82,0.93
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,"Принято, коммерция",0.03,0.05,0.13,0.1,0.08,0,0.01,0
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, бюджет",0.57,0.8,0.91,0.92,0.96,2.33,1.36,1.11
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Подано, коммерция",0.03,0.11,0.15,0.18,0.23,0.33,0.27,0.26
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, бюджет",0.48,0.96,0.85,0.95,0.92,1.3,1.05,1.05
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,"Принято, коммерция",0.04,0.04,0.07,0.06,0.08,0.03,0.04,0.02
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, бюджет",1.31,1.29,1.39,1.19,0.93,0.77,0.72,0.19
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Подано, коммерция",0.1,0.26,0.21,0.15,0.09,0.1,0.07,0.03
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, бюджет",1.09,1.08,1.11,0.92,0.5,0.31,0.34,0.21
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,"Принято, коммерция",0.01,0.01,0.02,0.01,0,0,0,0
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Подано, бюджет",0.37,0.39,0.47,0.43,0.36,0.26,0.28,0.29
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Подано, коммерция",0.2,0.23,0.21,0.16,0.2,0.08,0.14,0.17
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Принято, бюджет",0.68,0.72,0.59,0.68,0.7,0.64,0.61,0.63
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,"Принято, коммерция",0.03,0.03,0.03,0.05,0.03,0,0,0
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, бюджет",0.23,0.28,0.25,0.43,0.33,0.2,0.4,0.29
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Подано, коммерция",0.03,0.07,0.05,0.12,0.09,0.06,0.17,0.05
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, бюджет",0.49,0.46,0.51,0.63,0.55,0.82,0.49,0.53
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,"Принято, коммерция",0.01,0.03,0.01,0.06,0.06,0,0,0
Омская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, бюджет",0.28,0.26,0.33,0.39,0.27,0.2,0.19,0.2
Омская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,"Подано, коммерция",0.03,0.04,0.08,0.1,0.18,0.08,0.06,0.05
