region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Поданные,0.5,0.57,0.69,0.72,0.63,0.85,0.73,1.14
Омская область,1,Математические и естественные науки,01,1.01.00.00 - Математика и механика,Принятые,0.54,0.46,0.54,0.54,0.55,0.52,0.34,0.39
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Поданные,0.39,0.58,0.67,0.69,0.72,1.77,1.06,0.84
Омская область,1,Математические и естественные науки,02,1.02.00.00 - Компьютерные и информационные науки,Принятые,0.2,0.41,0.37,0.38,0.42,0.53,0.45,0.45
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Поданные,0.92,0.96,1.02,0.87,0.66,0.58,0.54,0.14
Омская область,1,Математические и естественные науки,03,1.03.00.00 - Физика и астрономия,Принятые,0.39,0.44,0.44,0.34,0.2,0.12,0.14,0.09
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,Поданные,0.32,0.34,0.39,0.35,0.31,0.21,0.24,0.25
Омская область,1,Математические и естественные науки,04,1.04.00.00 - Химия,Принятые,0.26,0.3,0.25,0.28,0.3,0.25,0.25,0.26
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Поданные,0.17,0.21,0.19,0.33,0.25,0.16,0.34,0.21
Омская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Принятые,0.18,0.2,0.2,0.27,0.26,0.32,0.2,0.22
Омская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Поданные,0.2,0.19,0.25,0.3,0.24,0.17,0.15,0.15
Омская область,1,Математические и естественные науки,06,1.06.00.00 - Биологические науки,Принятые,0.12,0.12,0.14,0.12,0.13,0.09,0.11,0.1
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.05,0.04,0.08,0.05,0.23,0.19,0.18,0.22
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.1,0.11,0.13,0.12,0.19,0.18,0.21,0.22
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,2.48,2.09,2.57,2.12,2.55,2.46,2.4,2.16
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,2.42,2.48,2.65,2.71,2.56,3.16,2.39,2.75
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,4.36,4.13,4.88,5.21,5.77,9.52,9.59,9.8
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,4.15,3.63,4.04,4.12,4.7,6.87,6.43,6.36
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,2.28,1.81,1.87,2.43,3.2,5.18,4.75,4.22
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,1.01,0.94,1.07,1.15,1.5,1.58,1.33,1.49
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,0.68,0.66,0.88,0.91,0.86,1.97,2.23,1.85
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,0.85,0.81,0.94,0.77,1.02,1.14,1.13,1.29
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Поданные,0.9,0.5,0.75,0.78,0.6,0.83,0.79,0.46
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Принятые,0.31,0.32,0.37,0.38,0.34,0.39,0.4,0.19
Омская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,3.14,2.32,3.26,3.27,3.33,2.96,3.45,2.86
Омская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,2.33,2.89,3.08,3.33,3.28,2.56,2.7,3.18
Омская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,2.5,3.07,3.56,3.8,3.43,3.79,3.92,4.29
Омская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,2.69,3.34,3.28,3.55,3.22,3,3.76,4.35
Омская область,2,"Инженерное дело, технологии и технические науки",16,2.16.00.00 - Физико-технические науки и технологии,Поданные,0.19,0.14,0.17,0.17,0.11,0.32,0.19,0.13
Омская область,2,"Инженерное дело, технологии и технические науки",16,2.16.00.00 - Физико-технические науки и технологии,Принятые,0.1,0.13,0.14,0.15,0.14,0.13,0.1,0.09
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,1.01,1.3,1.23,1.33,1.03,1.35,1.1,1.21
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,1.09,1.32,1.44,1.57,1.53,1.53,1.56,1.92
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,0.77,1.25,0.77,0.83,0.64,0.52,0.96,0.97
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,0.94,1.12,0.84,0.88,0.83,0.63,0.67,0.91
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,2.25,2.7,2.39,2.69,1.72,1.95,2.25,1.81
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,1.45,1.54,1.43,1.65,1.52,1.65,1.7,1.76
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,2.74,3.02,2.72,3.04,3.01,2.09,3.67,3.74
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,2.29,2.82,2.76,2.95,2.43,2.38,3.3,4.23
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,0.13,0.15,0.12,0.19,0.11,0.24,0.19,0.14
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,0.13,0.14,0.14,0.15,0.14,0.16,0.17,0.14
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,11.53,10.27,10.76,10.7,8.74,7.76,8.04,8.95
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,11.08,10.45,10.82,9.74,8.58,7.44,8.25,9.99
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Поданные,0.47,0.48,1.06,0.83,0.58,1.12,1.06,0.7
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Принятые,0.44,0.56,0.57,0.61,0.57,0.53,0.54,0.55
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,0.36,0.3,0.36,0.5,0.42,0.5,0.4,0.66
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,0.93,0.75,0.78,0.92,0.8,0.78,0.85,1.05
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,1.88,1.43,1.64,1.58,1.8,1.95,1.73,2
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.69,0.77,0.94,0.94,1.3,0.79,1.15,1.53
Омская область,2,"Инженерное дело, технологии и технические науки",28,2.28.00.00 - Нанотехнологии и наноматериалы,Поданные,0.26,0.32,0.28,0.21,0.17,0.45,0.45,0.34
