region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",Поданные,14285,14030,14374,15745,20420,15365,16614,19574
Омская область,2,"Инженерное дело, технологии и технические науки",Принятые,7854,7617,7443,8050,8104,7120,7565,8089
Омская область,3,Здравоохранение и медицинские науки,Поданные,3090,4239,4700,5912,5525,5363,5546,6119
Омская область,3,Здравоохранение и медицинские науки,Принятые,1488,1462,1447,1372,1464,1439,1425,1489
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,1541,1851,1822,1727,1648,1887,1785,1901
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1308,1419,1305,1319,1232,1276,1266,1219
Омская область,5,Науки об обществе,Поданные,6478,5329,6315,7189,10893,8148,9468,10115
Омская область,5,Науки об обществе,Принятые,3325,3552,3978,4491,5485,5205,5339,5193
Омская область,6,Образование и педагогические науки,Поданные,1495,1971,2246,2408,3047,2841,2622,3531
Омская область,6,Образование и педагогические науки,Принятые,691,1082,1274,1231,1343,1545,1459,1398
Омская область,7,Гуманитарные науки,Поданные,837,758,814,944,1090,905,843,1031
Омская область,7,Гуманитарные науки,Принятые,420,420,413,413,418,461,430,463
Омская область,8,Искусство и культура,Поданные,1311,1337,1408,1509,1908,2096,2173,2869
Омская область,8,Искусство и культура,Принятые,639,666,668,719,891,923,973,1066
Тюменская область,2,"Инженерное дело, технологии и технические науки",Поданные,21812,24565,29271,32453,37770,44723,59105,68943
Тюменская область,2,"Инженерное дело, технологии и технические науки",Принятые,5977,5392,5970,5834,6707,6239,6595,6936
Тюменская область,3,Здравоохранение и медицинские науки,Поданные,4299,4722,5193,4927,7216,6829,9905,12929
Тюменская область,3,Здравоохранение и медицинские науки,Принятые,1319,1242,1187,1102,1515,1588,1826,2346
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,2215,2377,1690,2232,2544,2195,2488,3474
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,1118,1100,830,958,1003,865,1027,968
Тюменская область,5,Науки об обществе,Поданные,3376,5792,5754,6018,10337,9609,12382,16195
Тюменская область,5,Науки об обществе,Принятые,1373,1993,2007,2046,2188,2310,2442,2457
Тюменская область,6,Образование и педагогические науки,Поданные,1514,2160,2000,2179,2296,2873,2965,3040
Тюменская область,6,Образование и педагогические науки,Принятые,298,317,336,367,410,462,482,506
Тюменская область,7,Гуманитарные науки,Поданные,857,1340,1516,1572,1567,1003,1406,2168
Тюменская область,7,Гуманитарные науки,Принятые,220,290,277,256,262,253,338,331
Тюменская область,8,Искусство и культура,Поданные,1049,1262,1769,1900,2956,2728,4681,5158
Тюменская область,8,Искусство и культура,Принятые,346,360,497,566,544,553,543,589
