Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Бакалавриат;1.01.03.01 - Математика;01.03.01 - Математика;01.03.01;Математика;Информационные технологии (IT) и телекоммуникации;Финансы и страхование;Спорт
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Бакалавриат;1.01.03.02 - Прикладная математика и информатика;01.03.02 - Прикладная математика и информатика;01.03.02;Прикладная математика и информатика;Информационные технологии (IT) и телекоммуникации;Финансы и страхование;Спорт
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Бакалавриат;1.01.03.03 - Механика и математическое моделирование;01.03.03 - Механика и математическое моделирование;01.03.03;Механика и математическое моделирование;Машиностроение и производство транспортных средств;Космическая отрасль;
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Бакалавриат;1.01.03.04 - Прикладная математика;01.03.04 - Прикладная математика;01.03.04;Прикладная математика;Информационные технологии (IT) и телекоммуникации;;
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Бакалавриат;1.01.03.05 - Статистика;01.03.05 - Статистика;01.03.05;Статистика;Информационные технологии (IT) и телекоммуникации;Финансы и страхование;
1;Математические и естественные науки;1.01.00.00 - Математика и механика;ВО;Специалитет;1.01.05.01 - Фундаментальные математика и механика;01.05.01 - Фундаментальные математика и механика;01.05.01;Фундаментальные математика и механика;Машиностроение и производство транспортных средств;Космическая отрасль;
1;Математические и естественные науки;1.02.00.00 - Компьютерные и информационные науки;ВО;Бакалавриат;1.02.03.01 - Математика и компьютерные науки;02.03.01 - Математика и компьютерные науки;02.03.01;Математика и компьютерные науки;Информационные технологии (IT) и телекоммуникации;;
1;Математические и естественные науки;1.02.00.00 - Компьютерные и информационные науки;ВО;Бакалавриат;1.02.03.02 - Фундаментальная информатика и информационные технологии;02.03.02 - Фундаментальная информатика и информационные технологии;02.03.02;Фундаментальная информатика и информационные технологии;Информационные технологии (IT) и телекоммуникации;;
1;Математические и естественные науки;1.02.00.00 - Компьютерные и информационные науки;ВО;Бакалавриат;1.02.03.03 - Математическое обеспечение и администрирование информационных систем;02.03.03 - Математическое обеспечение и администрирование информационных систем;02.03.03;Математическое обеспечение и администрирование информационных систем;Информационные технологии (IT) и телекоммуникации;;
