field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
2,"Инженерное дело, технологии и технические науки",Алтайский край,2016,9992,5695,1622,1123,2.67,1.71
3,Здравоохранение и медицинские науки,Алтайский край,2016,2871,917,961,536,3.68,1.94
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2016,1482,1375,93,88,1.09,1.06
5,Науки об обществе,Алтайский край,2016,5426,1915,2445,1487,5.97,1.89
6,Образование и педагогические науки,Алтайский край,2016,1746,560,516,361,3.76,1.65
7,Гуманитарные науки,Алтайский край,2016,484,226,200,121,2.72,1.79
8,Искусство и культура,Алтайский край,2016,929,559,91,84,1.84,1.11
2,"Инженерное дело, технологии и технические науки",Алтайский край,2017,9934,66,2087,0,178.28,NA
3,Здравоохранение и медицинские науки,Алтайский край,2017,2550,333,962,0,170.43,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2017,1539,3,147,0,34.38,NA
5,Науки об обществе,Алтайский край,2017,5893,229,3224,0,75.23,NA
6,Образование и педагогические науки,Алтайский край,2017,1608,874,496,0,2.49,NA
7,Гуманитарные науки,Алтайский край,2017,500,317,250,0,40.99,NA
8,Искусство и культура,Алтайский край,2017,1026,303,100,0,13.49,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2018,10133,68,2024,0,133.41,NA
3,Здравоохранение и медицинские науки,Алтайский край,2018,2744,331,1028,0,306.59,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2018,1678,5,189,0,431.55,NA
5,Науки об обществе,Алтайский край,2018,4933,202,3433,0,75.68,NA
6,Образование и педагогические науки,Алтайский край,2018,1755,988,631,0,2.61,NA
7,Гуманитарные науки,Алтайский край,2018,560,278,230,0,41.07,NA
8,Искусство и культура,Алтайский край,2018,1163,280,158,0,12.76,NA
1,Математические и естественные науки,Алтайский край,2019,0,0,0,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2019,11094,67,2760,0,181.84,NA
3,Здравоохранение и медицинские науки,Алтайский край,2019,2826,367,1007,0,148.6,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2019,1812,6,161,0,56.77,NA
5,Науки об обществе,Алтайский край,2019,6211,150,4544,0,205.34,NA
6,Образование и педагогические науки,Алтайский край,2019,1742,944,622,0,2.55,NA
7,Гуманитарные науки,Алтайский край,2019,584,335,370,0,2.03,NA
8,Искусство и культура,Алтайский край,2019,1374,338,209,0,13.67,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2020,13414,75,4478,0,184.11,NA
3,Здравоохранение и медицинские науки,Алтайский край,2020,3667,377,1577,0,151.4,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2020,2034,1,378,0,137,NA
5,Науки об обществе,Алтайский край,2020,7966,135,7665,0,164.86,NA
6,Образование и педагогические науки,Алтайский край,2020,2213,1023,810,0,2.88,NA
7,Гуманитарные науки,Алтайский край,2020,633,338,433,0,10.84,NA
8,Искусство и культура,Алтайский край,2020,1789,341,461,0,19.69,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2021,9771,40,2614,0,246.42,NA
3,Здравоохранение и медицинские науки,Алтайский край,2021,3050,360,1419,0,90.48,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2021,1669,0,160,0,NA,NA
5,Науки об обществе,Алтайский край,2021,5272,143,6267,0,135.76,NA
6,Образование и педагогические науки,Алтайский край,2021,1906,974,694,0,2.78,NA
7,Гуманитарные науки,Алтайский край,2021,496,334,464,0,1.68,NA
8,Искусство и культура,Алтайский край,2021,1625,307,430,0,20.26,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2022,9414,87,2893,0,157.76,NA
3,Здравоохранение и медицинские науки,Алтайский край,2022,2863,334,1582,0,223.32,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2022,1693,7,149,0,230.13,NA
5,Науки об обществе,Алтайский край,2022,4992,64,4986,0,176.92,NA
6,Образование и педагогические науки,Алтайский край,2022,1786,902,599,0,2.48,NA
7,Гуманитарные науки,Алтайский край,2022,583,351,357,0,2.06,NA
8,Искусство и культура,Алтайский край,2022,1329,310,440,0,8.85,NA
2,"Инженерное дело, технологии и технические науки",Алтайский край,2023,10812,171,3742,0,152.98,NA
3,Здравоохранение и медицинские науки,Алтайский край,2023,2995,190,1785,0,98.4,NA
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2023,2003,15,342,0,101.62,NA
5,Науки об обществе,Алтайский край,2023,5315,24,6717,0,215.88,NA
6,Образование и педагогические науки,Алтайский край,2023,1912,590,757,0,4.04,NA
7,Гуманитарные науки,Алтайский край,2023,586,191,527,0,7.23,NA
8,Искусство и культура,Алтайский край,2023,1366,318,495,0,11.12,NA
