"region","sum"
"Ярославская область (ГОУ+НОУ) (город+село).xlsx",80050
"Тульская область (ГОУ+НОУ) (город+село).xlsx",83112
"Тверская область (ГОУ+НОУ) (город+село).xlsx",80230
"Тамбовская область (ГОУ+НОУ) (город+село).xlsx",55846
"Смоленская область (ГОУ+НОУ) (город+село).xlsx",55296
"Рязанская область (ГОУ+НОУ) (город+село).xlsx",66210
"Ростовская область (ГОУ+НОУ) (город+село).xlsx",259049
"Республика Крым (ГОУ+НОУ) (город+село).xlsx",127963
"Республика Калмыкия (ГОУ+НОУ) (город+село).xlsx",20269
"Республика Адыгея (ГОУ+НОУ) (город+село).xlsx",33626
"Орловская область (ГОУ+НОУ) (город+село).xlsx",44670
"Московская область (ГОУ+НОУ) (город+село).xlsx",559126
"Липецкая область (ГОУ+НОУ) (город+село).xlsx",72528
"Курская область (ГОУ+НОУ) (город+село).xlsx",68505
"Краснодарский край (ГОУ+НОУ) (город+село).xlsx",428155
"Костромская область (ГОУ+НОУ) (город+село).xlsx",42215
"Калужская область (ГОУ+НОУ) (город+село).xlsx",67301
"Ивановская область (ГОУ+НОУ) (город+село).xlsx",58558
"Воронежская область (ГОУ+НОУ) (город+село).xlsx",141952
"Волгоградская область (ГОУ+НОУ) (город+село).xlsx",149556
"Владимирская область (ГОУ+НОУ) (город+село).xlsx",84056
"Брянская область (ГОУ+НОУ) (город+село).xlsx",76550
"Белгородская область (ГОУ+НОУ) (город+село).xlsx",97004
"Астраханская область (ГОУ+НОУ) (город+село).xlsx",69258
