field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
1,Математические и естественные науки,Алтайский край,2016,2151,412,66,34,6.64,3.08
2,"Инженерное дело, технологии и технические науки",Алтайский край,2016,10602,1949,1883,702,5.92,13.87
3,Здравоохранение и медицинские науки,Алтайский край,2016,3162,575,1889,519,7.99,4.92
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2016,1738,630,129,88,3.12,2.05
5,Науки об обществе,Алтайский край,2016,6582,544,7504,2821,16.12,3.47
6,Образование и педагогические науки,Алтайский край,2016,6638,1179,1035,457,6.42,2.58
7,Гуманитарные науки,Алтайский край,2016,652,71,350,163,13.05,2.45
8,Искусство и культура,Алтайский край,2016,898,212,435,113,5.89,9.14
1,Математические и естественные науки,Алтайский край,2017,2361,400,130,61,7.11,2.99
2,"Инженерное дело, технологии и технические науки",Алтайский край,2017,10956,1849,1750,789,6.52,4.96
3,Здравоохранение и медицинские науки,Алтайский край,2017,2548,600,1840,984,5.99,2.61
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2017,1671,576,51,44,3.24,1.17
5,Науки об обществе,Алтайский край,2017,6351,528,7072,3011,16.04,3.36
6,Образование и педагогические науки,Алтайский край,2017,7047,1259,1035,461,6.14,2.42
7,Гуманитарные науки,Алтайский край,2017,750,76,389,174,12.76,2.33
8,Искусство и культура,Алтайский край,2017,1274,241,646,126,6.35,7.03
1,Математические и естественные науки,Алтайский край,2018,2715,406,142,67,7.82,2.5
2,"Инженерное дело, технологии и технические науки",Алтайский край,2018,10920,1855,1776,774,6.51,10.43
3,Здравоохранение и медицинские науки,Алтайский край,2018,3049,602,1486,539,7.18,3.48
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2018,2015,596,75,59,3.98,1.33
5,Науки об обществе,Алтайский край,2018,6961,560,7727,2865,16.06,3.57
6,Образование и педагогические науки,Алтайский край,2018,7110,1298,890,398,6.2,2.5
7,Гуманитарные науки,Алтайский край,2018,882,96,417,150,13.36,3.99
8,Искусство и культура,Алтайский край,2018,1543,253,450,115,7.44,5.05
1,Математические и естественные науки,Алтайский край,2019,2736,392,239,92,8.29,2.81
2,"Инженерное дело, технологии и технические науки",Алтайский край,2019,10651,1737,1287,833,6.58,1.73
3,Здравоохранение и медицинские науки,Алтайский край,2019,4460,605,1794,729,11.07,3.27
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2019,2131,604,112,97,4.02,1.26
5,Науки об обществе,Алтайский край,2019,5992,558,7217,2638,13.51,3.37
6,Образование и педагогические науки,Алтайский край,2019,6530,1194,962,531,5.85,1.9
7,Гуманитарные науки,Алтайский край,2019,1011,128,524,208,11.27,4.38
8,Искусство и культура,Алтайский край,2019,1483,216,684,120,8.12,9.82
1,Математические и естественные науки,Алтайский край,2020,2413,444,235,33,6.49,10.6
2,"Инженерное дело, технологии и технические науки",Алтайский край,2020,12133,1995,1583,464,6.64,7.37
3,Здравоохранение и медицинские науки,Алтайский край,2020,6414,644,2372,583,16.61,4.72
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2020,2089,628,51,36,3.78,1.29
5,Науки об обществе,Алтайский край,2020,7682,574,7529,2522,20.97,4
6,Образование и педагогические науки,Алтайский край,2020,6481,1544,1158,419,4.49,2.99
7,Гуманитарные науки,Алтайский край,2020,926,101,569,206,14.55,3.21
8,Искусство и культура,Алтайский край,2020,1724,289,783,196,7.56,5.3
1,Математические и естественные науки,Алтайский край,2021,3075,450,233,27,7.59,9.96
2,"Инженерное дело, технологии и технические науки",Алтайский край,2021,15092,2095,1522,518,8.07,3.68
3,Здравоохранение и медицинские науки,Алтайский край,2021,5621,721,2146,517,15.64,5.1
4,Сельское хозяйство и сельскохозяйственные науки,Алтайский край,2021,2598,601,102,37,5.65,2.43
