field;field_name;group_code_name;edulvl;edulvl_2;code_name_official;code_name;code_old;code;spec_name;comment
7;Гуманитарные науки;7.45.00.00 - Языкознание и литературоведение;ВО;Бакалавриат;7.45.03.01 - Филология;45.03.01 - Филология;;45.03.01;Филология;
7;Гуманитарные науки;7.45.00.00 - Языкознание и литературоведение;ВО;Бакалавриат;7.45.03.02 - Лингвистика;45.03.02 - Лингвистика;;45.03.02;Лингвистика;
7;Гуманитарные науки;7.45.00.00 - Языкознание и литературоведение;ВО;Бакалавриат;7.45.03.03 - Фундаментальная и прикладная лингвистика;45.03.03 - Фундаментальная и прикладная лингвистика;;45.03.03;Фундаментальная и прикладная лингвистика;
7;Гуманитарные науки;7.45.00.00 - Языкознание и литературоведение;ВО;Бакалавриат;7.45.03.04 - Интеллектуальные системы в гуманитарной сфере;45.03.04 - Интеллектуальные системы в гуманитарной сфере;;45.03.04;Интеллектуальные системы в гуманитарной сфере;
7;Гуманитарные науки;7.45.00.00 - Языкознание и литературоведение;ВО;Специалитет;7.45.05.01 - Перевод и переводоведение+F1138;45.05.01 - Перевод и переводоведение;;45.05.01;Перевод и переводоведение;
7;Гуманитарные науки;7.46.00.00 - История и археология;ВО;Бакалавриат;7.46.03.01 - История;46.03.01 - История;;46.03.01;История;
7;Гуманитарные науки;7.46.00.00 - История и археология;ВО;Бакалавриат;7.46.03.02 - Документоведение и архивоведение;46.03.02 - Документоведение и архивоведение;;46.03.02;Документоведение и архивоведение;
7;Гуманитарные науки;7.46.00.00 - История и археология;ВО;Бакалавриат;7.46.03.03 - Антропология и этнология;46.03.03 - Антропология и этнология;;46.03.03;Антропология и этнология;
7;Гуманитарные науки;7.46.00.00 - История и археология;ВО;Бакалавриат;7.46.03.04 - Археология;46.03.04 - Археология;;46.03.04;Археология;
7;Гуманитарные науки;7.46.00.00 - История и археология;СПО;Подготовка квалифицированных рабочих, служащих;7.46.01.01 - Секретарь;46.01.01 - Секретарь;;46.01.01;Секретарь;
7;Гуманитарные науки;7.46.00.00 - История и археология;СПО;Подготовка квалифицированных рабочих, служащих;7.46.01.02 - Архивариус;46.01.02 - Архивариус;;46.01.02;Архивариус;
7;Гуманитарные науки;7.46.00.00 - История и археология;СПО;Подготовка квалифицированных рабочих, служащих;7.46.01.03 - Делопроизводитель;46.01.03 - Делопроизводитель;;46.01.03;Делопроизводитель;
7;Гуманитарные науки;7.46.00.00 - История и археология;СПО;Подготовка специалистов среднего звена;7.46.02.01 - Документационное обеспечение управления и архивоведение;46.02.01 - Документационное обеспечение управления и архивоведение;;46.02.01;Документационное обеспечение управления и архивоведение;
8;Гуманитарные науки;7.46.00.00 - История и археология;СПО;Подготовка специалистов среднего звена;;;;46.02.02;Обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности;new
7;Гуманитарные науки;7.47.00.00 - Философия, этика и религиоведение;ВО;Бакалавриат;7.47.03.01 - Философия;47.03.01 - Философия;;47.03.01;Философия;
7;Гуманитарные науки;7.47.00.00 - Философия, этика и религиоведение;ВО;Бакалавриат;7.47.03.02 - Прикладная этика;47.03.02 - Прикладная этика;;47.03.02;Прикладная этика;
7;Гуманитарные науки;7.47.00.00 - Философия, этика и религиоведение;ВО;Бакалавриат;7.47.03.03 - Религиоведение;47.03.03 - Религиоведение;;47.03.03;Религиоведение;
7;Гуманитарные науки;7.48.00.00 - Теология;ВО;Бакалавриат;7.48.03.01 - Теология;48.03.01 - Теология;;48.03.01;Теология;
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;ВО;Бакалавриат;7.49.03.01 - Физическая культура;49.03.01 - Физическая культура;;49.03.01;Физическая культура;
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;ВО;Бакалавриат;7.49.03.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);49.03.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;ВО;Бакалавриат;7.49.03.03 - Рекреация и спортивно-оздоровительный туризм;49.03.03 - Рекреация и спортивно-оздоровительный туризм;;49.03.03;Рекреация и спортивно-оздоровительный туризм;
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;ВО;Бакалавриат;7.49.03.04 - Спорт;49.03.04 - Спорт;;49.03.04;Спорт;
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;СПО;Подготовка специалистов среднего звена;7.49.02.01 - Физическая культура;49.02.01 - Физическая культура;;49.02.01;Физическая культура;
7;Гуманитарные науки;7.49.00.00 - Физическая культура и спорт;СПО;Подготовка специалистов среднего звена;7.49.02.02 - Адаптивная физическая культура;49.02.02 - Адаптивная физическая культура;;49.02.02;Адаптивная физическая культура;
